book,prop,gate,hr,n,hits,wilson_low,lift_vs_base,base_hr,train_hr,train_n,oos_hr,oos_n,ticket_clear,oos_ticket_clear
Goblin OVER,hitter_ks,L5=5 + opp_pitch_stingy + season_cush>=1,0.8108,37,30,0.6579,0.1897,0.6211,1.0,5,0.7812,32,False,True
Goblin OVER,hits+runs+rbis,L5=5 + own_pitch_stingy,0.6937,591,410,0.6554,0.0606,0.6331,0.661,236,0.7155,355,False,True
Goblin OVER,hitter_ks,L10>=8 + opp_pitch_stingy + cover>=1,0.6967,455,317,0.653,0.0756,0.6211,0.6452,124,0.716,331,False,True
Goblin OVER,hitter_ks,L10>=9 + opp_bats_Strong,0.6938,503,349,0.6522,0.0727,0.6211,0.6537,205,0.7215,298,False,True
Goblin OVER,hitter_ks,L5=5,0.6746,1429,964,0.6499,0.0535,0.6211,0.6526,947,0.7178,482,False,True
Goblin OVER,hitter_ks,L5=5 + line_0.5,0.6746,1429,964,0.6499,0.0535,0.6211,0.6526,947,0.7178,482,False,True
Goblin OVER,hits+runs+rbis,L5=5 + own_pitch_stingy + cover>=1,0.6928,472,327,0.6498,0.0597,0.6331,0.64,125,0.7118,347,False,True
Goblin OVER,walks_allowed,season_cush>=2,0.8056,36,29,0.6497,0.0666,0.739,0.6154,13,0.913,23,False,True
Goblin OVER,hits+runs+rbis,L10=10 + K%>=28,0.8125,32,26,0.6469,0.1794,0.6331,0.75,8,0.8333,24,False,True
Goblin OVER,hitter_ks,L5=5 + opp_pitch_stingy,0.6855,550,377,0.6455,0.0644,0.6211,0.6583,360,0.7368,190,False,True
Goblin OVER,hits+runs+rbis,L5=5 + season_cush>=2,0.6912,408,282,0.6447,0.0581,0.6331,0.6304,92,0.7089,316,False,True
Standard UNDER,earned_runs,L5>=4 + opp_pitch_leaky,0.8214,28,23,0.6441,0.2416,0.5798,0.75,4,0.8333,24,False,True
Goblin OVER,total_bases,L5>=4 + BA>=.300,0.6945,347,241,0.6441,0.0999,0.5946,0.6909,220,0.7008,127,False,True
Goblin OVER,hitter_ks,L5=5 + opp_bats_Strong,0.6793,555,377,0.6393,0.0582,0.6211,0.6583,360,0.7179,195,False,True
Goblin OVER,hitter_ks,L5=5 + own_bats_Strong,0.6787,554,376,0.6387,0.0576,0.6211,0.6535,355,0.7236,199,False,True
Goblin OVER,hitter_ks,L5=5 + own_bats_Strong + season_cush>=1,0.8065,31,25,0.6372,0.1854,0.6211,,0,0.8065,31,False,True
Goblin OVER,hitter_ks,L10=10 + K%>=22,0.6967,244,170,0.6364,0.0756,0.6211,0.6916,107,0.7007,137,False,True
Goblin OVER,hits,L10>=8 + BA>=.275 + opp_pitch_stingy,0.687,345,237,0.6362,0.0924,0.5946,0.6424,151,0.7216,194,False,True
Goblin OVER,total_bases,L10>=8 + BA>=.275 + opp_pitch_stingy,0.6862,341,234,0.6351,0.0916,0.5946,0.6419,148,0.7202,193,False,True
Goblin OVER,pitches_thrown,own_bats_Strong,0.6702,667,447,0.6336,-0.034,0.7042,0.6429,364,0.703,303,False,True
Goblin OVER,hitter_ks,L5=5 + opp_bats_Strong + cover>=1,0.689,254,175,0.6296,0.0679,0.6211,0.5932,59,0.7179,195,False,True
Standard UNDER,earned_runs,L5=5,0.8261,23,19,0.6286,0.2463,0.5798,0.8,5,0.8333,18,False,True
Goblin OVER,pitches_thrown,L5>=4 + own_bats_Strong,0.6983,179,125,0.6275,-0.0059,0.7042,0.6585,82,0.732,97,False,True
Goblin OVER,hits+runs+rbis,L5=5 + K%>=22 + opp_pitch_stingy,0.6831,243,166,0.6222,0.05,0.6331,0.6381,105,0.7174,138,False,True
Goblin OVER,walks_allowed,L10=10 + own_pitch_stingy,0.7714,35,27,0.6098,0.0324,0.739,0.75,8,0.7778,27,False,True
Goblin OVER,hitter_ks,L5=5 + own_pitch_stingy + cover>=1,0.6693,251,168,0.609,0.0482,0.6211,0.5833,84,0.7126,167,False,True
Goblin OVER,pitches_thrown,L10=10,0.7632,38,29,0.6079,0.059,0.7042,0.8125,16,0.7273,22,False,True
Goblin OVER,hits,L5>=4 + season_HR>70%,0.6596,329,217,0.6068,0.065,0.5946,0.6517,290,0.7179,39,False,True
Goblin OVER,hitter_ks,L5=5 + own_pitch_stingy,0.6463,588,380,0.6068,0.0252,0.6211,0.62,421,0.7126,167,False,True
Goblin OVER,total_bases,L5>=4 + season_HR>70%,0.6585,325,214,0.6053,0.0639,0.5946,0.6528,288,0.7027,37,False,True
Goblin OVER,walks_allowed,L5>=4 + season_cush>=2,0.7857,28,22,0.6046,0.0467,0.739,0.5,8,0.9,20,False,True
Goblin OVER,hitter_ks,L5=5 + own_pitch_stingy + season_cush>=1,0.7647,34,26,0.6,0.1436,0.6211,0.8889,9,0.72,25,False,True
Goblin OVER,pitches_thrown,L5=5 + opp_bats_Strong + season_cush>=1,0.7568,37,28,0.5988,0.0526,0.7042,0.625,8,0.7931,29,False,True
Goblin OVER,hits+runs+rbis,L5=5 + BA>=.300 + opp_pitch_stingy,0.7778,27,21,0.5924,0.1447,0.6331,0.625,8,0.8421,19,False,True
Goblin OVER,pitches_thrown,L5=5 + opp_pitch_leaky + season_cush>=1,0.7576,33,25,0.5898,0.0534,0.7042,0.6667,9,0.7917,24,False,True
Goblin OVER,walks_allowed,L5=5 + season_cush>=2,0.8,20,16,0.584,0.061,0.739,0.5,4,0.875,16,False,True
Goblin OVER,pitches_thrown,L5=5 + own_bats_Strong + season_cush>=1,0.7826,23,18,0.581,0.0784,0.7042,0.6667,3,0.8,20,False,True
Goblin OVER,hitter_ks,L10=10 + own_pitch_leaky,0.6639,122,81,0.5762,0.0428,0.6211,0.6042,48,0.7027,74,False,True
Goblin OVER,pitches_thrown,L5=5 + own_pitch_stingy + season_cush>=1,0.7353,34,25,0.5688,0.0311,0.7042,0.5714,7,0.7778,27,False,True
Goblin OVER,total_bases,L10>=8 + BA>=.300 + opp_pitch_stingy,0.6566,99,65,0.5588,0.062,0.5946,0.614,57,0.7143,42,False,True
Goblin OVER,hits,L10>=8 + BA>=.300 + opp_pitch_stingy,0.6535,101,66,0.5566,0.0589,0.5946,0.6102,59,0.7143,42,False,True
Standard UNDER,hits,L5=5 + own_pitch_stingy,0.6769,65,44,0.5561,0.1216,0.5553,0.6154,26,0.7179,39,False,True
Goblin OVER,hits,L5=5 + K%>=28 + opp_pitch_leaky,0.6939,49,34,0.5547,0.0993,0.5946,0.6667,30,0.7368,19,False,True
Goblin OVER,total_bases,L5=5 + K%>=28 + opp_pitch_leaky,0.6939,49,34,0.5547,0.0993,0.5946,0.6667,30,0.7368,19,False,True
Goblin OVER,hitter_ks,L5=5 + BA>=.275 + opp_pitch_stingy,0.65,100,65,0.5525,0.0289,0.6211,0.6286,70,0.7,30,False,True
Standard UNDER,hits,L5=5 + own_pitch_stingy + cover>=1,0.6977,43,30,0.5489,0.1424,0.5553,0.5,4,0.7179,39,False,True
Goblin OVER,singles,L10>=9 + own_pitch_stingy,0.7241,29,21,0.5428,0.1845,0.5396,0.6667,3,0.7308,26,False,True
Goblin OVER,hits+runs+rbis,L5=5 + K%>=28 + opp_pitch_leaky,0.6615,65,43,0.5404,0.0284,0.6331,0.5926,27,0.7105,38,False,True
Goblin OVER,walks_allowed,L10>=8 + season_cush>=2,0.7391,23,17,0.5353,0.0001,0.739,0.3333,6,0.8824,17,False,True
Goblin OVER,walks_allowed,L10>=9 + season_cush>=2,0.7391,23,17,0.5353,0.0001,0.739,0.3333,6,0.8824,17,False,True
Goblin OVER,plate_appearances,L10>=8 + opp_pitch_leaky,0.7391,23,17,0.5353,0.2246,0.5145,0.75,8,0.7333,15,False,True
Goblin OVER,total_bases,L10=10 + K%>=22,0.6944,36,25,0.5314,0.0998,0.5946,0.6364,11,0.72,25,False,True
Goblin OVER,singles,L10>=9 + own_bats_Strong,0.697,33,23,0.5266,0.1574,0.5396,0.6875,16,0.7059,17,False,True
Goblin OVER,hits,L10=10 + K%>=22,0.6842,38,26,0.5254,0.0896,0.5946,0.6364,11,0.7037,27,False,True
Goblin OVER,pitches_thrown,L5=5 + L10>=8 + own_pitch_stingy,0.7037,27,19,0.5152,-0.0005,0.7042,0.6667,6,0.7143,21,False,True
Goblin OVER,pitcher_ks,line_0.5,0.6667,39,26,0.5098,-0.0309,0.6976,0.5789,19,0.75,20,False,True
Standard UNDER,hits_allowed,L10>=8 + own_pitch_leaky,0.7083,24,17,0.5083,0.2154,0.4929,0.625,8,0.75,16,False,True
Goblin OVER,total_bases,L10=10 + season_cush>=1,0.6579,38,25,0.4989,0.0633,0.5946,0.25,4,0.7059,34,False,True
Standard OVER,singles,L5=5 + BA>=.275,0.6786,28,19,0.4934,0.1924,0.4862,0.5556,9,0.7368,19,False,True
Standard OVER,hits,L5>=4 + own_bats_Strong,0.6,75,45,0.4869,0.1226,0.4774,0.4872,39,0.7222,36,False,True
Standard UNDER,hits+runs+rbis,L10=10,0.6538,26,17,0.4622,0.1189,0.5349,0.5,8,0.7222,18,False,True
Standard UNDER,singles,L10>=9 + opp_pitch_stingy,0.6053,38,23,0.4472,0.0682,0.5371,0.4444,18,0.75,20,False,True
Standard UNDER,hits_allowed,L10>=8 + opp_bats_Strong,0.6061,33,20,0.4368,0.1132,0.4929,0.4615,13,0.7,20,False,True
Standard UNDER,hits_allowed,L10>=8 + own_bats_Strong,0.5862,29,17,0.4074,0.0933,0.4929,0.4167,12,0.7059,17,False,True
Goblin OVER,pitching_outs,L10=10 + cover>=0.5,0.9375,16,15,0.7167,0.2352,0.7023,1.0,2,0.9286,14,False,False
Goblin OVER,pitcher_ks,line_2.5+,0.6943,5760,3999,0.6822,-0.0033,0.6976,0.6904,3243,0.6992,2517,False,False
Goblin OVER,pitcher_ks,own_bats_Strong,0.6993,2368,1656,0.6805,0.0017,0.6976,0.7026,1298,0.6953,1070,False,False
Goblin OVER,hits+runs+rbis,L10>=8 + cover>=0.5,0.6982,2634,1839,0.6804,0.0651,0.6331,0.6936,692,0.6998,1942,False,False
Goblin OVER,hits+runs+rbis,L10>=8,0.6934,4899,3397,0.6803,0.0603,0.6331,0.6927,1705,0.6938,3194,False,False
Goblin OVER,hits+runs+rbis,L5>=4 + season_cush>=1,0.6958,3399,2365,0.6801,0.0627,0.6331,0.6844,865,0.6997,2534,False,False
Goblin OVER,hits,BA>=.275 + opp_pitch_leaky,0.699,2269,1586,0.6798,0.1044,0.5946,0.7111,1516,0.6746,753,False,False
Goblin OVER,hits+runs+rbis,L5>=4 + cover>=1.5,0.6938,3583,2486,0.6785,0.0607,0.6331,0.6785,902,0.699,2681,False,False
Goblin OVER,total_bases,BA>=.275 + opp_pitch_leaky,0.6949,2324,1615,0.6759,0.1003,0.5946,0.7077,1543,0.6697,781,False,False
Goblin OVER,hits+runs+rbis,L10>=8 + own_pitch_stingy,0.695,2131,1481,0.6751,0.0619,0.6331,0.6934,737,0.6958,1394,False,False
Goblin OVER,hits+runs+rbis,L10>=8 + own_bats_Strong,0.6941,2239,1554,0.6747,0.061,0.6331,0.7033,873,0.6881,1366,False,False
Goblin OVER,hits+runs+rbis,BA>=.275,0.6866,5501,3777,0.6742,0.0535,0.6331,0.6953,2819,0.6775,2682,False,False
Goblin OVER,pitcher_ks,opp_pitch_stingy,0.6924,2396,1659,0.6736,-0.0052,0.6976,0.6902,1320,0.6952,1076,False,False
Goblin OVER,hits+runs+rbis,L5=5 + line_0.5,0.6981,1338,934,0.6729,0.065,0.6331,0.7026,548,0.6949,790,False,False
Goblin OVER,hits+runs+rbis,L5>=4 + own_pitch_leaky,0.6902,2124,1466,0.6702,0.0571,0.6331,0.683,899,0.6955,1225,False,False
Goblin OVER,hits+runs+rbis,L5>=4,0.6827,5480,3741,0.6702,0.0496,0.6331,0.6816,2327,0.6835,3153,False,False
Goblin OVER,hits+runs+rbis,L5>=4 + own_bats_Strong,0.6888,2349,1618,0.6698,0.0557,0.6331,0.6921,1023,0.6863,1326,False,False
Goblin OVER,hits+runs+rbis,cover>=2,0.6829,4964,3390,0.6698,0.0498,0.6331,0.6699,1242,0.6873,3722,False,False
Goblin OVER,hits+runs+rbis,L5>=4 + cover>=1,0.6841,4026,2754,0.6695,0.051,0.6331,0.6702,1037,0.6889,2989,False,False
Goblin OVER,pitcher_ks,own_pitch_leaky,0.6886,2293,1579,0.6694,-0.009,0.6976,0.6978,1264,0.6774,1029,False,False
Goblin OVER,hits+runs+rbis,L5=5,0.6935,1416,982,0.669,0.0604,0.6331,0.6945,586,0.6928,830,False,False
Goblin OVER,hits,L10>=8 + BA>=.275,0.6984,978,683,0.6689,0.1038,0.5946,0.7041,436,0.6937,542,False,False
Goblin OVER,hits,BA>=.300,0.6951,1233,857,0.6688,0.1005,0.5946,0.6984,799,0.6889,434,False,False
Goblin OVER,hits+runs+rbis,L5=5 + cover>=2,0.6975,1005,701,0.6684,0.0644,0.6331,0.7126,261,0.6922,744,False,False
Goblin OVER,total_bases,L10>=8 + BA>=.275,0.6979,970,677,0.6683,0.1033,0.5946,0.704,429,0.6932,541,False,False
Goblin OVER,hits+runs+rbis,L5=5 + cover>=1.5,0.6956,1061,738,0.6672,0.0625,0.6331,0.6915,282,0.697,779,False,False
Goblin OVER,total_bases,BA>=.300,0.6934,1249,866,0.6672,0.0988,0.5946,0.6947,809,0.6909,440,False,False
Goblin OVER,hits+runs+rbis,L10>=8 + own_pitch_leaky,0.6881,1847,1271,0.6666,0.055,0.6331,0.6699,618,0.6973,1229,False,False
Goblin OVER,hits+runs+rbis,L5=5 + L10>=8 + line_0.5,0.6973,892,622,0.6664,0.0642,0.6331,0.6973,261,0.6973,631,False,False
Goblin OVER,hitter_ks,L5>=4 + L10>=8,0.6901,1449,1000,0.6658,0.069,0.6211,0.6861,583,0.6928,866,False,False
Goblin OVER,hits+runs+rbis,L5=5 + cover>=0.5,0.6928,1146,794,0.6655,0.0597,0.6331,0.694,317,0.6924,829,False,False
Goblin OVER,hitterfantasyscore,opp_pitch_leaky,0.6921,1205,834,0.6655,0.0261,0.666,0.6921,1205,,0,False,False
Goblin OVER,hits+runs+rbis,L5>=4 + cover>=0.5,0.6798,4173,2837,0.6655,0.0467,0.6331,0.6633,1075,0.6856,3098,False,False
Goblin OVER,hits+runs+rbis,L5=5 + cover>=1,0.692,1130,782,0.6645,0.0589,0.6331,0.6945,311,0.6911,819,False,False
Goblin OVER,hitter_ks,K%>=22,0.6722,14375,9663,0.6645,0.0511,0.6211,0.6695,9165,0.677,5210,False,False
Goblin OVER,hits+runs+rbis,L5=5 + L10>=8,0.6947,927,644,0.6643,0.0616,0.6331,0.6909,275,0.6963,652,False,False
Goblin OVER,hits+runs+rbis,season_cush>=1,0.674,6335,4270,0.6624,0.0409,0.6331,0.669,1701,0.6759,4634,False,False
Goblin OVER,hitter_ks,L10>=8 + cover>=1,0.6886,1185,816,0.6617,0.0675,0.6211,0.6708,322,0.6952,863,False,False
Goblin OVER,hits+runs+rbis,cover>=1.5,0.6736,5974,4024,0.6616,0.0405,0.6331,0.6615,1545,0.6778,4429,False,False
Goblin OVER,hitter_ks,L10>=8 + K%>=22 + opp_pitch_leaky,0.6889,1051,724,0.6602,0.0678,0.6211,0.6996,466,0.6803,585,False,False
Goblin OVER,hits,BA>=.275,0.6723,5606,3769,0.6599,0.0777,0.5946,0.6721,3730,0.6727,1876,False,False
Goblin OVER,hits+runs+rbis,L5>=4 + K%>=22,0.6791,2275,1545,0.6597,0.046,0.6331,0.667,1000,0.6886,1275,False,False
Goblin OVER,hitterfantasyscore,own_bats_Strong,0.6858,1222,838,0.6592,0.0198,0.666,0.6858,1222,,0,False,False
Goblin OVER,hits+runs+rbis,BA>=.300,0.684,1367,935,0.6588,0.0509,0.6331,0.7007,685,0.6672,682,False,False
Goblin OVER,total_bases,BA>=.275,0.6703,5635,3777,0.6579,0.0757,0.5946,0.6714,3734,0.6681,1901,False,False
Goblin OVER,hitter_ks,L10>=8 + own_pitch_stingy,0.6832,1291,882,0.6573,0.0621,0.6211,0.7015,603,0.6672,688,False,False
Goblin OVER,hitter_ks,L10>=8 + line_0.5,0.6732,3256,2192,0.6569,0.0521,0.6211,0.6702,1413,0.6755,1843,False,False
Goblin OVER,hitter_ks,L10>=8,0.6728,3258,2192,0.6565,0.0517,0.6211,0.6702,1413,0.6748,1845,False,False
Goblin OVER,hitter_ks,L10>=8 + cover>=0.5,0.6801,1360,925,0.6549,0.059,0.6211,0.6649,373,0.6859,987,False,False
Goblin OVER,hits+runs+rbis,L5>=4 + own_pitch_stingy,0.6744,2270,1531,0.6549,0.0413,0.6331,0.6716,953,0.6765,1317,False,False
Goblin OVER,hits+runs+rbis,cover>=1,0.6637,7848,5209,0.6532,0.0306,0.6331,0.6566,2085,0.6663,5763,False,False
Goblin OVER,hitter_ks,L5>=4 + opp_pitch_stingy,0.6732,2133,1436,0.653,0.0521,0.6211,0.6691,1375,0.6807,758,False,False
Goblin OVER,hits_allowed,own_pitch_leaky,0.6706,2228,1494,0.6508,-0.0252,0.6958,0.6495,1224,0.6962,1004,False,False
Goblin OVER,hits,L5>=4 + BA>=.275,0.6723,1669,1122,0.6494,0.0777,0.5946,0.6661,1150,0.6859,519,False,False
Goblin OVER,hitter_ks,cover>=1,0.6659,3017,2009,0.6489,0.0448,0.6211,0.6675,764,0.6653,2253,False,False
Goblin OVER,hits+runs+rbis,L10>=8 + K%>=22,0.6696,1946,1303,0.6484,0.0365,0.6331,0.6534,704,0.6787,1242,False,False
Goblin OVER,hitter_ks,L5>=4 + own_bats_Strong,0.6693,1990,1332,0.6484,0.0482,0.6211,0.6682,1293,0.6714,697,False,False
Goblin OVER,hitterfantasyscore,line_2.5+,0.669,1834,1227,0.6472,0.003,0.666,0.669,1834,,0,False,False
Goblin OVER,total_bases,L5>=4 + BA>=.275,0.6701,1655,1109,0.6471,0.0755,0.5946,0.6632,1146,0.6857,509,False,False
Goblin OVER,hitter_ks,L5>=4 + cover>=1,0.6675,2099,1401,0.647,0.0464,0.6211,0.6519,540,0.6729,1559,False,False
Goblin OVER,hits+runs+rbis,L5=5 + own_bats_Strong + cover>=1,0.6903,465,321,0.6469,0.0572,0.6331,0.6822,107,0.6927,358,False,False
Goblin OVER,hits+runs+rbis,L5=5 + K%>=22,0.6847,609,417,0.6468,0.0516,0.6331,0.6704,270,0.6962,339,False,False
Goblin OVER,hits+runs+rbis,L5=5 + own_pitch_leaky,0.6874,515,354,0.6461,0.0543,0.6331,0.691,178,0.6855,337,False,False
Goblin OVER,hitterfantasyscore,own_pitch_stingy,0.6718,1225,823,0.645,0.0058,0.666,0.6718,1225,,0,False,False
Goblin OVER,hits+runs+rbis,line_0.5,0.6506,24656,16042,0.6447,0.0175,0.6331,0.6523,12777,0.6489,11879,False,False
Goblin OVER,hitter_ks,L5>=4,0.6576,5239,3445,0.6446,0.0365,0.6211,0.657,3420,0.6586,1819,False,False
Goblin OVER,hits+runs+rbis,L10>=9 + K%>=22,0.6782,724,491,0.6433,0.0451,0.6331,0.646,274,0.6978,450,False,False
Goblin OVER,pitcherfantasyscore,own_pitch_stingy,0.6932,352,244,0.6431,0.0176,0.6756,0.6932,352,,0,False,False
Goblin OVER,hits+runs+rbis,cover>=0.5,0.653,8851,5780,0.6431,0.0199,0.6331,0.6443,2339,0.6562,6512,False,False
Goblin OVER,pitcherfantasyscore,line_2.5+,0.6756,817,552,0.6428,0.0,0.6756,0.6756,817,,0,False,False
Goblin OVER,hits+runs+rbis,L10>=8 + opp_pitch_stingy,0.6652,1771,1178,0.6428,0.0321,0.6331,0.6465,594,0.6746,1177,False,False
Goblin OVER,hits,L5>=4 + BA>=.300,0.6914,350,242,0.6412,0.0968,0.5946,0.6878,221,0.6977,129,False,False
Goblin OVER,hitter_ks,L5>=4 + opp_bats_Strong,0.6609,2126,1405,0.6405,0.0398,0.6211,0.663,1356,0.6571,770,False,False
Goblin OVER,hits+runs+rbis,L5=5 + own_pitch_leaky + cover>=1,0.6852,432,296,0.6399,0.0521,0.6331,0.6804,97,0.6866,335,False,False
Standard UNDER,earned_runs,L5=5 + cover>=0.5,0.875,16,14,0.6398,0.2952,0.5798,0.8,5,0.9091,11,False,False
Goblin OVER,hitter_ks,L10>=9 + own_pitch_stingy,0.6815,496,338,0.6392,0.0604,0.6211,0.6964,247,0.6667,249,False,False
Goblin OVER,hits+runs+rbis,L5=5 + own_pitch_leaky + season_cush>=1,0.687,377,259,0.6385,0.0539,0.6331,0.6829,82,0.6881,295,False,False
Goblin OVER,hits+runs+rbis,L5>=4 + BA>=.300,0.6931,290,201,0.6378,0.06,0.6331,0.708,113,0.6836,177,False,False
Goblin OVER,hitter_ks,L5>=4 + cover>=0.5,0.6569,2448,1608,0.6378,0.0358,0.6211,0.6488,635,0.6597,1813,False,False
Goblin OVER,hits+runs+rbis,L5=5 + K%>=22 + opp_pitch_leaky,0.6962,260,181,0.6377,0.0631,0.6331,0.704,125,0.6889,135,False,False
Goblin OVER,hitter_ks,L5>=4 + own_pitch_leaky,0.658,2035,1339,0.6371,0.0369,0.6211,0.6617,1271,0.6518,764,False,False
Goblin OVER,hitter_ks,L10>=8 + own_pitch_leaky + cover>=1,0.6781,525,356,0.637,0.057,0.6211,0.65,120,0.6864,405,False,False
Goblin OVER,hitterfantasyscore,opp_bats_Strong,0.6637,1228,815,0.6368,-0.0023,0.666,0.6637,1228,,0,False,False
Goblin OVER,hitter_ks,cover>=0.5,0.6509,4423,2879,0.6367,0.0298,0.6211,0.6595,1122,0.648,3301,False,False
Goblin OVER,total_bases,L10>=8 + season_cush>=1,0.6634,1236,820,0.6366,0.0688,0.5946,0.6477,369,0.6701,867,False,False
Goblin OVER,hits+runs+rbis,opp_pitch_leaky,0.6443,12530,8073,0.6359,0.0112,0.6331,0.6398,6511,0.6491,6019,False,False
Goblin OVER,hits+runs+rbis,L10>=8 + opp_pitch_stingy + season_cush>=1,0.6674,887,592,0.6357,0.0343,0.6331,0.6624,237,0.6692,650,False,False
Goblin OVER,hitter_ks,L5>=4 + L10>=8 + own_pitch_leaky,0.6747,584,394,0.6356,0.0536,0.6211,0.6614,189,0.681,395,False,False
Goblin OVER,hitterfantasyscore,K%>=22,0.6606,1429,944,0.6356,-0.0054,0.666,0.6606,1429,,0,False,False
Goblin OVER,hitterfantasyscore,L10>=8,0.6738,604,407,0.6355,0.0078,0.666,0.6738,604,,0,False,False
Goblin OVER,hitterfantasyscore,L10>=8 + own_bats_Strong,0.6912,285,197,0.6353,0.0252,0.666,0.6912,285,,0,False,False
Goblin OVER,total_bases,L10>=8 + opp_bats_Strong + cover>=1,0.676,534,361,0.6352,0.0814,0.5946,0.6748,163,0.6765,371,False,False
Goblin OVER,hits,L10>=8 + cover>=0.5,0.6602,1395,921,0.635,0.0656,0.5946,0.6361,382,0.6693,1013,False,False
Goblin OVER,hitterfantasyscore,line_1.5,0.662,1204,797,0.6348,-0.004,0.666,0.662,1204,,0,False,False
Goblin OVER,hits+runs+rbis,own_bats_Strong,0.6432,12174,7830,0.6346,0.0101,0.6331,0.6519,6441,0.6334,5733,False,False
Goblin OVER,hitter_ks,L5=5 + opp_pitch_leaky,0.6738,558,376,0.6339,0.0527,0.6211,0.6603,365,0.6995,193,False,False
Goblin OVER,hits+runs+rbis,L10>=8 + opp_pitch_stingy + cover>=1,0.6648,913,607,0.6336,0.0317,0.6331,0.6626,246,0.6657,667,False,False
Goblin OVER,hits+runs+rbis,L5>=4 + opp_pitch_stingy,0.6545,2000,1309,0.6334,0.0214,0.6331,0.6478,883,0.6598,1117,False,False
Goblin OVER,hitter_ks,L10>=8 + own_pitch_stingy + cover>=1,0.6778,450,305,0.6333,0.0567,0.6211,0.6643,143,0.684,307,False,False
Goblin OVER,hits,L10>=8 + cover>=1,0.6599,1185,782,0.6325,0.0653,0.5946,0.6542,321,0.662,864,False,False
Goblin OVER,total_bases,L10>=8 + cover>=1,0.6575,1384,910,0.6321,0.0629,0.5946,0.6324,389,0.6673,995,False,False
Goblin OVER,total_bases,L10>=8 + cover>=0.5,0.6563,1443,947,0.6314,0.0617,0.5946,0.6324,408,0.6657,1035,False,False
Goblin OVER,hits+runs+rbis,L5=5 + opp_pitch_stingy + season_cush>=1,0.6803,366,249,0.6309,0.0472,0.6331,0.7041,98,0.6716,268,False,False
Goblin OVER,hitter_ks,L10>=8 + opp_bats_Strong,0.6559,1334,875,0.63,0.0348,0.6211,0.6473,567,0.6623,767,False,False
Goblin OVER,hits,L10>=8 + opp_bats_Strong + cover>=1,0.6739,463,312,0.6299,0.0793,0.5946,0.6879,141,0.6677,322,False,False
Goblin OVER,total_bases,L10>=8 + opp_pitch_leaky + season_cush>=1,0.672,500,336,0.6297,0.0774,0.5946,0.661,177,0.678,323,False,False
Goblin OVER,hitter_ks,L10>=8 + own_pitch_leaky,0.655,1400,917,0.6297,0.0339,0.6211,0.6221,561,0.677,839,False,False
Goblin OVER,total_bases,L10>=8 + opp_bats_Strong + season_cush>=1,0.6731,468,315,0.6293,0.0785,0.5946,0.6732,153,0.673,315,False,False
Goblin OVER,total_bases,L10>=8 + own_pitch_stingy + cover>=1,0.6684,582,389,0.6291,0.0738,0.5946,0.6275,153,0.683,429,False,False
Goblin OVER,hitterfantasyscore,L10>=9,0.6907,236,163,0.629,0.0247,0.666,0.6907,236,,0,False,False
Goblin OVER,hitter_ks,L5>=4 + own_pitch_stingy,0.6493,2096,1361,0.6286,0.0282,0.6211,0.6443,1428,0.6602,668,False,False
Goblin OVER,hitter_ks,L10>=8 + opp_pitch_leaky,0.6543,1325,867,0.6283,0.0332,0.6211,0.6799,578,0.6345,747,False,False
Goblin OVER,hits+runs+rbis,opp_bats_Strong,0.6366,11908,7581,0.6279,0.0035,0.6331,0.6344,6259,0.6391,5649,False,False
Goblin OVER,hits,L10>=8 + own_pitch_stingy + cover>=1,0.6708,480,322,0.6276,0.0762,0.5946,0.6634,101,0.6728,379,False,False
Goblin OVER,hits,L10>=8 + opp_bats_Strong,0.6546,1219,798,0.6275,0.06,0.5946,0.6393,560,0.6677,659,False,False
Goblin OVER,hitter_ks,L10=10,0.6856,264,181,0.6273,0.0645,0.6211,0.6937,111,0.6797,153,False,False
Goblin OVER,hits+runs+rbis,L5=5 + L10>=8 + own_pitch_leaky,0.6783,345,234,0.6272,0.0452,0.6331,0.6753,77,0.6791,268,False,False
Goblin OVER,hits,L10>=8 + BA>=.275 + opp_pitch_leaky,0.6768,362,245,0.627,0.0822,0.5946,0.7169,166,0.6429,196,False,False
Goblin OVER,hits,L5=5 + BA>=.275,0.672,439,295,0.6267,0.0774,0.5946,0.6699,312,0.6772,127,False,False
Goblin OVER,pitcherfantasyscore,own_pitch_leaky,0.6788,330,224,0.6266,0.0032,0.6756,0.6788,330,,0,False,False
Goblin OVER,hitterfantasyscore,L10>=8 + own_pitch_stingy,0.6836,275,188,0.6265,0.0176,0.666,0.6836,275,,0,False,False
Goblin OVER,hits,L5>=4 + L10>=8,0.6505,1525,992,0.6262,0.0559,0.5946,0.6378,646,0.6598,879,False,False
Goblin OVER,total_bases,L10>=8 + BA>=.275 + opp_pitch_leaky,0.6759,361,244,0.626,0.0813,0.5946,0.7152,165,0.6429,196,False,False
Goblin OVER,hitter_ks,opp_pitch_stingy,0.6349,10775,6841,0.6258,0.0138,0.6211,0.6341,6684,0.6363,4091,False,False
Goblin OVER,hitter_ks,L10>=8 + opp_bats_Strong + cover>=1,0.668,497,332,0.6255,0.0469,0.6211,0.6148,122,0.6853,375,False,False
Goblin OVER,pitches_thrown,L10=10 + opp_pitch_stingy,0.8421,19,16,0.6243,0.1379,0.7042,0.875,8,0.8182,11,False,False
Goblin OVER,hitterfantasyscore,own_pitch_leaky,0.6514,1199,781,0.624,-0.0146,0.666,0.6514,1199,,0,False,False
