book,prop,gate,hr,n,hits,wilson_low,lift_vs_base,base_hr,train_hr,train_n,oos_hr,oos_n,ticket_clear,oos_ticket_clear
Goblin OVER,pitcher_ks,L10>=9 + cover>=0.5,0.8652,371,321,0.8267,0.1676,0.6976,0.8125,80,0.8797,291,True,True
Goblin OVER,hits_allowed,L10=10 + season_cush>=2,0.9103,78,71,0.8262,0.2145,0.6958,0.7143,14,0.9531,64,True,True
Goblin OVER,pitching_outs,L10>=9 + season_cush>=2,0.8756,225,197,0.826,0.1733,0.7023,0.8542,48,0.8814,177,True,True
Goblin OVER,earned_runs,L10>=8 + line_0.5,0.8523,792,675,0.8259,0.1421,0.7102,0.8075,187,0.8661,605,True,True
Goblin OVER,walks_allowed,L5=5 + cover>=1,0.8745,231,202,0.8255,0.1355,0.739,0.8,45,0.8925,186,True,True
Goblin OVER,earned_runs,L5=5 + season_cush>=2,0.8814,177,156,0.8254,0.1712,0.7102,0.8163,49,0.9062,128,True,True
Goblin OVER,earned_runs,L10=10 + own_bats_Strong,0.9143,70,64,0.8253,0.2041,0.7102,0.9,10,0.9167,60,True,True
Goblin OVER,pitcher_ks,L5>=4 + cover>=1,0.873,244,213,0.8253,0.1754,0.6976,0.8333,54,0.8842,190,True,True
Goblin OVER,walks_allowed,L5=5 + cover>=0.5,0.873,244,213,0.8253,0.134,0.739,0.8039,51,0.8912,193,True,True
Goblin OVER,pitcher_ks,L10>=8 + cover>=1,0.8776,196,172,0.8243,0.18,0.6976,0.8049,41,0.8968,155,True,True
Goblin OVER,earned_runs,L10=10 + cover>=1.5,0.8962,106,95,0.8237,0.186,0.7102,0.7727,22,0.9286,84,True,True
Goblin OVER,earned_runs,L5=5 + opp_pitch_stingy,0.8851,148,131,0.8237,0.1749,0.7102,0.7812,32,0.9138,116,True,True
Goblin OVER,earned_runs,L10=10 + cover>=0.5,0.8938,113,101,0.8235,0.1836,0.7102,0.7727,22,0.9231,91,True,True
Goblin OVER,earned_runs,L10=10 + cover>=1,0.8938,113,101,0.8235,0.1836,0.7102,0.7727,22,0.9231,91,True,True
Goblin OVER,walks_allowed,L5>=4 + cover>=2,0.8648,318,275,0.8228,0.1258,0.739,0.8378,74,0.873,244,True,True
Goblin OVER,pitcher_ks,L10>=8 + opp_pitch_stingy + cover>=1,0.9011,91,82,0.8226,0.2035,0.6976,0.8462,13,0.9103,78,True,True
Goblin OVER,earned_runs,L10>=9 + opp_bats_Strong,0.8763,194,170,0.8225,0.1661,0.7102,0.8333,36,0.8861,158,True,True
Goblin OVER,pitcher_ks,L5=5 + L10>=8,0.8609,381,328,0.8225,0.1633,0.6976,0.8111,90,0.8763,291,True,True
Goblin OVER,earned_runs,L5=5 + own_pitch_stingy,0.898,98,88,0.8223,0.1878,0.7102,0.8235,17,0.9136,81,True,True
Goblin OVER,walks_allowed,L5=5 + own_bats_Strong + season_cush>=1,0.9036,83,75,0.8212,0.1646,0.739,0.9286,14,0.8986,69,True,True
Goblin OVER,hits_allowed,L10=10 + season_cush>=1,0.9,90,81,0.8208,0.2042,0.6958,0.7647,17,0.9315,73,True,True
Goblin OVER,earned_runs,L5=5 + own_pitch_stingy + cover>=1,0.8969,97,87,0.8205,0.1867,0.7102,0.8235,17,0.9125,80,True,True
Goblin OVER,earned_runs,L5=5 + opp_pitch_stingy + cover>=1,0.8841,138,122,0.82,0.1739,0.7102,0.7857,28,0.9091,110,True,True
Goblin OVER,pitcher_ks,L5=5 + opp_bats_Strong + cover>=1,0.9067,75,68,0.8197,0.2091,0.6976,0.8,15,0.9333,60,True,True
Goblin OVER,earned_runs,L10>=9 + cover>=1,0.8611,324,279,0.8192,0.1509,0.7102,0.8361,61,0.8669,263,True,True
Goblin OVER,walks_allowed,L5=5 + own_pitch_stingy + cover>=1,0.9024,82,74,0.8191,0.1634,0.739,0.7778,9,0.9178,73,True,True
Goblin OVER,earned_runs,L10=10 + season_cush>=1,0.8909,110,98,0.8189,0.1807,0.7102,0.7727,22,0.9205,88,True,True
Goblin OVER,pitching_outs,L10>=8 + season_cush>=2,0.8601,336,289,0.8189,0.1578,0.7023,0.8,65,0.8745,271,True,True
Goblin OVER,hits_allowed,L10>=8 + cover>=0.5,0.8564,404,346,0.8189,0.1606,0.6958,0.8022,91,0.8722,313,True,True
Goblin OVER,earned_runs,L10=10 + cover>=2,0.8932,103,92,0.8188,0.183,0.7102,0.7727,22,0.9259,81,True,True
Goblin OVER,walks_allowed,L5=5 + L10>=8 + line_0.5,0.8724,196,171,0.8185,0.1334,0.739,0.8,45,0.894,151,True,True
Goblin OVER,hits_allowed,cover>=0.5,0.8483,633,537,0.8183,0.1525,0.6958,0.7844,167,0.8712,466,True,True
Goblin OVER,hits_allowed,L5>=4 + season_cush>=2,0.8568,370,317,0.8174,0.161,0.6958,0.7303,89,0.8968,281,True,True
Goblin OVER,earned_runs,L5>=4 + cover>=2,0.8504,528,449,0.8174,0.1402,0.7102,0.8235,119,0.8582,409,True,True
Goblin OVER,pitcher_ks,L10>=8 + opp_bats_Strong + cover>=1,0.9012,81,73,0.817,0.2036,0.6976,0.7692,13,0.9265,68,True,True
Goblin OVER,pitcher_ks,L10>=8 + own_pitch_leaky + cover>=1,0.8977,88,79,0.8169,0.2001,0.6976,0.8,15,0.9178,73,True,True
Goblin OVER,earned_runs,L5=5 + L10>=8 + own_pitch_stingy,0.8977,88,79,0.8169,0.1875,0.7102,0.8125,16,0.9167,72,True,True
Goblin OVER,pitcher_ks,cover>=1,0.863,270,233,0.8168,0.1654,0.6976,0.8413,63,0.8696,207,True,True
Goblin OVER,pitching_outs,L5=5 + season_cush>=2,0.8729,181,158,0.8165,0.1706,0.7023,0.7708,48,0.9098,133,True,True
Goblin OVER,pitching_outs,L5>=4 + season_cush>=2,0.8571,343,294,0.8161,0.1548,0.7023,0.7662,77,0.8835,266,True,True
Goblin OVER,earned_runs,L10>=9 + cover>=0.5,0.8576,330,283,0.8157,0.1474,0.7102,0.8413,63,0.8614,267,True,True
Goblin OVER,pitcher_ks,L5=5 + own_pitch_stingy + season_cush>=1,0.8722,180,157,0.8156,0.1746,0.6976,0.8333,48,0.8864,132,True,True
