PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,avg_toi,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite
Jorge Barrosa,jorge barrosa,ARI,0.2,20,,hits,ARI,ARI,1,bottom,Jorge Barrosa,17,7,3,-0.10409765142281988,-0.33241341991341994,-0.2082706766917293,0.16886369932588421,0.3326984012273983,0.0,0.0,0.12414274322169064,False,True
Alek Thomas,alek thomas,ARI,0.6071428571428571,28,,hits,ARI,ARI,2,bottom,Alek Thomas,25,10,5,0.011182148232208831,-0.4446400684661554,0.15106893106893102,0.39706097351221187,0.41682848565697145,0.6,0.2,0.5957089995350864,True,True
Tommy Troy,tommy troy,ARI,0.6333333333333333,30,,hits,ARI,ARI,3,bottom,Tommy Troy,27,7,9,-0.06934851078015306,-0.39283980355889675,0.03147996107766223,0.054013562195380366,0.19263148547988432,0.4444444444444444,0.2857142857142857,0.42431976463655896,False,True
Gabriel Moreno,gabriel moreno,ARI,1.0775862068965518,116,,hits,ARI,ARI,1,top,Gabriel Moreno,113,36,29,0.10582683934609574,-0.04763108254163736,0.23452303992772408,0.14316632624382852,0.12571922839816208,0.5517241379310345,0.3888888888888889,0.28215412246936145,True,False
Ketel Marte,ketel marte,ARI,0.9920634920634921,126,,hits,ARI,ARI,2,top,Ketel Marte,123,36,31,0.027851762555504204,-0.3281996052750446,0.07988848975994918,0.22793588217268215,0.21369390645232986,0.5161290322580645,0.2222222222222222,0.40808809503499377,False,True
Geraldo Perdomo,geraldo perdomo,ARI,0.9014084507042254,142,,hits,ARI,ARI,3,top,Geraldo Perdomo,139,40,37,0.07406577304408071,0.09867720088504253,-0.015130937690709324,0.11141772761744781,-0.02226178509985463,0.5675675675675675,0.575,-0.11380813857575185,False,False
Jorge Barrosa,jorge barrosa,ARI,0.0,20,,home_runs,ARI,ARI,1,bottom,Jorge Barrosa,17,7,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,False,False
Ryan Waldschmidt,ryan waldschmidt,ARI,0.03896103896103896,77,,home_runs,ARI,ARI,2,bottom,Ryan Waldschmidt,74,19,20,0.023551922903317448,0.08826219243498064,0.030988199367320175,-0.015825809964729827,-0.09884677472339383,0.05,0.10526315789473684,-0.05727399306766046,False,False
Lourdes Gurriel Jr.,lourdes gurriel jr.,ARI,0.04,50,,home_runs,ARI,ARI,3,bottom,Lourdes Gurriel Jr.,47,17,6,0.01672575318088709,-0.018201159087381995,-0.03700232596687595,0.05489766915785179,0.09201509871151006,0.0,0.0,-0.018801166879493954,False,False
Ketel Marte,ketel marte,ARI,0.1746031746031746,126,,home_runs,ARI,ARI,1,top,Ketel Marte,123,36,31,0.0009492829233986058,-0.0007634696279975294,0.05773083154383514,-0.02938230485130266,0.07060989314111701,0.1935483870967742,0.16666666666666666,0.05849430117183267,False,False
Nolan Arenado,nolan arenado,ARI,0.1678832116788321,137,,home_runs,ARI,ARI,2,top,Nolan Arenado,134,40,37,0.04071071063557038,0.01709132947018352,0.0380187597778469,0.05903312165927639,0.008953339212464531,0.13513513513513514,0.125,0.020927430307663378,False,False
Corbin Carroll,corbin carroll,ARI,0.1347517730496454,141,,home_runs,ARI,ARI,3,top,Corbin Carroll,138,41,35,-0.012980772990675163,-0.05658656852953739,-0.009294869857198905,0.013774565838706803,0.043932810226554354,0.14285714285714285,0.0975609756097561,0.047291698672338484,False,True
Jorge Barrosa,jorge barrosa,ARI,0.1,20,,rbi,ARI,ARI,1,bottom,Jorge Barrosa,17,7,3,-0.1178013042017777,-0.19224386724386727,-0.12715121136173768,-0.039351638091133866,0.28489334596542965,0.0,0.0,0.06509265588212959,False,True
Jose Fernandez,jose fernandez,ARI,0.24615384615384617,65,,rbi,ARI,ARI,2,bottom,Jose Fernandez,62,20,8,-0.24063986697323475,-0.45754270416589027,-0.145335706285078,-0.13547447113947433,0.28800937303791263,0.375,0.0,0.3122069978808123,False,True
Tommy Troy,tommy troy,ARI,0.26666666666666666,30,,rbi,ARI,ARI,3,bottom,Tommy Troy,27,7,9,0.09646011168694787,-0.2959107295924403,0.5313416043301101,-0.00966148329784693,0.3691240063306504,0.4444444444444444,0.0,0.8272523339225504,False,True
Gabriel Moreno,gabriel moreno,ARI,0.603448275862069,116,,rbi,ARI,ARI,1,top,Gabriel Moreno,113,36,29,0.11184057055551379,-0.005340138114034383,0.13753514233175312,0.18420229827619694,0.09448705771049867,0.5172413793103449,0.3611111111111111,0.1428752804457875,False,False
Ketel Marte,ketel marte,ARI,0.5555555555555556,126,,rbi,ARI,ARI,2,top,Ketel Marte,123,36,31,0.039327381520262224,-0.15883004748193053,-0.023713823292528937,0.20161210997160975,0.04332237092841404,0.41935483870967744,0.25,0.13511622418940158,False,True
James Mccann,james mccann,ARI,0.5227272727272727,44,,rbi,ARI,ARI,3,top,James Mccann,41,11,10,0.13738323208477773,0.2622226962273539,0.4730533194955525,-0.09911351689902637,0.012908815427716085,0.6,0.2727272727272727,0.21083062326819862,True,False
Jorge Barrosa,jorge barrosa,ARI,0.2,20,,total_bases,ARI,ARI,1,bottom,Jorge Barrosa,17,7,3,-0.10409765142281988,-0.33241341991341994,-0.2082706766917293,0.16886369932588421,0.3326984012273983,0.0,0.0,0.12414274322169064,False,True
Max Kepler,max kepler,ARI,0.975609756097561,41,,total_bases,ARI,ARI,2,bottom,Max Kepler,38,12,11,0.04115708127086993,0.09975531940018441,-0.09962420190748368,0.09751809843154428,-0.06668707717048947,0.2727272727272727,0.3333333333333333,-0.1993795213076681,False,False
Tommy Troy,tommy troy,ARI,1.0333333333333334,30,,total_bases,ARI,ARI,3,bottom,Tommy Troy,27,7,9,0.048071396146674834,-0.8367058979475572,0.7606352247156846,0.028104723559269015,0.34467901134793416,0.4444444444444444,0.0,1.597341122663242,False,True
Ketel Marte,ketel marte,ARI,1.753968253968254,126,,total_bases,ARI,ARI,1,top,Ketel Marte,123,36,31,0.05872477971978221,-0.357984817413143,0.17340333531887478,0.2631267488843078,0.14770767030492085,0.4838709677419355,0.3333333333333333,0.5313881527320178,False,True
Corbin Carroll,corbin carroll,ARI,1.7375886524822695,141,,total_bases,ARI,ARI,2,top,Corbin Carroll,138,41,35,-0.15026059977038156,-0.3583083040402583,-0.104221167146673,-0.03867066858916961,0.05673152967359455,0.45714285714285713,0.36585365853658536,0.2540871368935853,False,True
Gabriel Moreno,gabriel moreno,ARI,1.6724137931034482,116,,total_bases,ARI,ARI,3,top,Gabriel Moreno,113,36,29,0.20924602380054344,-0.050358560346376494,0.49762875594778444,0.22971822790510865,0.14135806103798593,0.5862068965517241,0.4722222222222222,0.547987316294161,True,False
Denzel Clarke,denzel clarke,ATH,0.38461538461538464,26,,hits,ATH,ATH,1,bottom,Denzel Clarke,23,11,3,-0.03907010300791721,-0.0649847907782109,0.22380952380952376,-0.09502313800559412,0.18793050326451446,0.6666666666666666,0.36363636363636365,0.28879431458773464,True,False
Donovan Walton,donovan walton,ATH,0.4666666666666667,45,,hits,ATH,ATH,2,bottom,Donovan Walton,45,6,14,-0.2463818428440595,-0.33337152889039684,-0.32690537034759803,-0.18041114279095694,-0.00968626335511984,0.42857142857142855,0.3333333333333333,0.0064661585427988055,False,True
Brian Serven,brian serven,ATH,0.5454545454545454,22,,hits,ATH,ATH,3,bottom,Brian Serven,19,3,3,-0.0012255207179437137,0.16329966329966328,0.4705882352941176,-0.14807296841709797,0.13887141623060603,0.6666666666666666,0.6666666666666666,0.3072885719944543,True,False
Henry Bolte,henry bolte,ATH,0.9423076923076923,104,,hits,ATH,ATH,1,top,Henry Bolte,101,24,28,0.005654899920076991,0.26226330203609166,-0.12081191746638135,-0.04776409526285193,-0.07960703560236003,0.42857142857142855,0.6666666666666666,-0.38307521950247303,False,False
Tommy White,tommy white,ATH,0.9285714285714286,42,,hits,ATH,ATH,2,top,Tommy White,39,7,11,-0.2263857511048302,-0.2576799287668853,-0.14786575549760134,-0.2570838800593604,0.07245756383991706,0.2727272727272727,0.5714285714285714,0.10981417326928394,False,True
Zack Gelof,zack gelof,ATH,0.8854166666666666,96,,hits,ATH,ATH,3,top,Zack Gelof,93,25,25,0.15643793903412678,0.3288756673604699,0.17576677965787854,0.0449457477840716,-0.09972533150823457,0.72,0.76,-0.15310888770259137,False,False
Denzel Clarke,denzel clarke,ATH,0.0,26,,home_runs,ATH,ATH,1,bottom,Denzel Clarke,23,11,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,False,False
Darell Hernaiz,darell hernaiz,ATH,0.018518518518518517,54,,home_runs,ATH,ATH,2,bottom,Darell Hernaiz,51,14,16,-0.008896101902256329,-0.023350699446294594,-0.03005633176815294,0.01686237635826183,0.03894939590532701,0.0,0.0,-0.006705632321858345,False,False
Tommy White,tommy white,ATH,0.047619047619047616,42,,home_runs,ATH,ATH,3,bottom,Tommy White,39,7,11,0.0272951622638698,0.12801233853865432,-0.03335461633570644,0.025491701819672034,-0.22539372284195894,0.0,0.14285714285714285,-0.16136695487436076,False,False
Brian Serven,brian serven,ATH,0.18181818181818182,22,,home_runs,ATH,ATH,1,top,Brian Serven,19,3,3,-0.05967393007477737,-0.20134680134680136,0.46918767507002795,-0.14902517635311158,0.49508363722107973,0.6666666666666666,0.0,0.6705344764168293,True,True
Zack Gelof,zack gelof,ATH,0.17708333333333334,96,,home_runs,ATH,ATH,2,top,Zack Gelof,93,25,25,0.040911459190470116,0.22045975318122515,0.007870300178778126,-0.04426710765782234,-0.20978734514508882,0.16,0.36,-0.21258945300244703,False,False
Jonah Heim,jonah heim,ATH,0.14634146341463414,82,,home_runs,ATH,ATH,3,top,Jonah Heim,82,17,26,-0.0003774862471666618,0.21494511697671262,-0.02682011607823861,-0.07660763699583528,-0.2179656010862797,0.11538461538461539,0.35294117647058826,-0.24176523305495123,False,False
Darell Hernaiz,darell hernaiz,ATH,0.16666666666666666,54,,rbi,ATH,ATH,1,bottom,Darell Hernaiz,51,14,16,0.03978752204711766,0.03381043961836259,0.028467187865243156,0.05239726018581118,0.053910424606190055,0.1875,0.14285714285714285,-0.005343251753119432,False,False
Tommy White,tommy white,ATH,0.19047619047619047,42,,rbi,ATH,ATH,2,bottom,Tommy White,39,7,11,0.12661261163340787,0.05230385121035661,0.08479031882813864,0.1732891137200422,0.08013933032370726,0.09090909090909091,0.14285714285714285,0.03248646761778203,False,False
Alika Williams,alika williams,ATH,0.2077922077922078,77,,rbi,ATH,ATH,3,bottom,Alika Williams,74,19,20,0.01815020879574576,0.182157171391441,-0.038984381252134284,-0.03823380515741447,-0.10802267696549167,0.15,0.2631578947368421,-0.22114155264357527,False,False
Brian Serven,brian serven,ATH,0.5454545454545454,22,,rbi,ATH,ATH,1,top,Brian Serven,19,3,3,-0.01092899121048048,-0.5404040404040403,1.1456582633053223,-0.1556471924386904,0.5834939913242553,0.6666666666666666,0.0,1.6860623037093627,True,True
Zack Gelof,zack gelof,ATH,0.4479166666666667,96,,rbi,ATH,ATH,2,top,Zack Gelof,93,25,25,0.04984570472034308,0.22931848307954714,0.07089429888475161,-0.06673648860733865,-0.0692445085545561,0.36,0.52,-0.15842418419479554,False,False
Jonah Heim,jonah heim,ATH,0.4146341463414634,82,,rbi,ATH,ATH,3,top,Jonah Heim,82,17,26,-0.09968302551147122,0.09530361860654196,-0.0979045851795733,-0.185862830604691,-0.1652318570583873,0.38461538461538464,0.4117647058823529,-0.19320820378611525,False,False
Denzel Clarke,denzel clarke,ATH,0.4230769230769231,26,,total_bases,ATH,ATH,1,bottom,Denzel Clarke,23,11,3,-0.017232241465504748,0.006810087791254991,0.22380952380952376,-0.12696456564877615,0.11373992438080287,0.6666666666666666,0.36363636363636365,0.21699943601826877,False,False
Darell Hernaiz,darell hernaiz,ATH,0.7037037037037037,54,,total_bases,ATH,ATH,2,bottom,Darell Hernaiz,51,14,16,0.12822173962971536,-0.107277182642926,-0.10730564884745253,0.4646704599845566,-0.03963665970350389,0.3125,0.42857142857142855,-2.8466204526525485e-05,False,False
Donovan Walton,donovan walton,ATH,0.8222222222222222,45,,total_bases,ATH,ATH,3,bottom,Donovan Walton,45,6,14,-0.3165244750080643,-0.7204700678654739,-0.3401280481855971,-0.2063595317428676,0.016942482440024192,0.21428571428571427,0.0,0.38034201967987674,False,True
Zack Gelof,zack gelof,ATH,1.6145833333333333,96,,total_bases,ATH,ATH,1,top,Zack Gelof,93,25,25,0.33150567620307664,1.0316242361546164,0.2464119544640961,-0.026066904153062478,-0.16368991428853066,0.36,0.52,-0.7852122816905203,False,False
Henry Bolte,henry bolte,ATH,1.3461538461538463,104,,total_bases,ATH,ATH,2,top,Henry Bolte,101,24,28,0.15677012072470253,0.7673057243227847,-0.2034494344991531,0.06357201990662081,-0.1496196914813959,0.25,0.4166666666666667,-0.9707551588219377,False,False
Jonah Heim,jonah heim,ATH,1.3048780487804879,82,,total_bases,ATH,ATH,3,top,Jonah Heim,82,17,26,-0.06540165210901837,0.8408938919162898,-0.32905736018131504,-0.2846830838667242,-0.23330966154543278,0.2692307692307692,0.5882352941176471,-1.1699512520976048,False,False
Ha-seong Kim,ha-seong kim,ATL,0.2682926829268293,41,,hits,ATL,ATL,1,bottom,Ha-seong Kim,38,8,11,0.002039959401741256,0.017769038972880236,0.17902127534613924,-0.10704567806970552,0.07491383879696553,0.2727272727272727,0.25,0.161252236373259,False,False
