TEAM_ABBREVIATION,closer_name,closer_hand,closer_era,closer_saves,staff_lhp,staff_rhp,sp1_name,sp1_hand,sp1_era,sp1_gs,sp2_name,sp2_hand,sp2_era,sp2_gs,sp3_name,sp3_hand,sp3_era,sp3_gs,sp4_name,sp4_hand,sp4_era,sp4_gs,sp5_name,sp5_hand,sp5_era,sp5_gs
ATH,Hogan Harris,L,3.39,15,5,9,Jeffrey Springs,L,6.02,26,Jacob Lopez,L,4.78,21,Gage Jump,L,5.12,19,Jack Perkins,R,6.53,14,Brady Basso,L,3.86,5
ATL,Raisel Iglesias,R,2.83,32,7,7,Grant Holmes,R,3.46,27,Chris Sale,L,2.22,26,Martín Pérez,L,3.08,24,Reynaldo López,R,4.13,12,Tyler Mahle,R,1.24,6
AZ,Brandyn Garcia,L,2.08,5,2,12,Eduardo Rodriguez,L,2.55,29,Merrill Kelly,R,5.06,26,Zac Gallen,R,6.22,20,Michael Soroka,R,3.53,18,Brandon Pfaadt,R,3.53,16
BAL,Andrew Kittredge,R,3.83,9,4,10,Shane Baz,R,4.05,29,Kyle Bradish,R,3.91,28,Trevor Rogers,L,4.15,27,Brandon Young,R,3.71,25,Chris Bassitt,R,4.88,16
BOS,Aroldis Chapman,L,2.03,33,9,5,Sonny Gray,R,2.76,27,Ranger Suarez,L,3.44,25,Payton Tolle,L,3.15,24,Jake Bennett,L,3.69,18,Patrick Sandoval,L,4.58,11
CHC,Jacob Webb,R,3.36,9,5,9,Shota Imanaga,L,3.88,29,Kevin Gausman,R,4.38,23,Matthew Boyd,L,4.03,19,Colin Rea,R,4.47,19,Aaron Civale,R,5.42,15
CIN,Emilio Pagán,R,3.93,22,4,10,Andrew Abbott,L,4.84,30,Brady Singer,R,5.03,28,Chase Burns,R,2.73,27,Rhett Lowder,R,5.81,23,Nick Lodolo,L,5.12,18
CLE,Cade Smith,R,2.22,35,5,9,Joey Cantillo,L,4.0,30,Tanner Bibee,R,4.22,30,Parker Messick,L,2.53,29,Gavin Williams,R,3.78,29,Foster Griffin,L,3.06,22
COL,Jordan Romano,R,2.75,11,2,12,Tomoyuki Sugano,R,5.3,26,Ryan Feltner,R,5.88,22,Gabriel Hughes,R,5.81,11,Tanner Gordon,R,5.4,9,Mason Adams,R,3.38,4
CWS,Grant Taylor,R,2.16,8,6,8,Anthony Kay,L,4.47,27,Davis Martin,R,4.05,26,Sean Burke,R,3.58,25,Erick Fedde,R,3.97,14,Bryan Hudson,L,2.92,8
DET,Kenley Jansen,R,3.63,18,4,10,Framber Valdez,L,4.01,29,Keider Montero,R,3.55,24,Troy Melton,R,2.42,18,Drew Anderson,R,3.8,9,Jackson Jobe,R,4.45,6
HOU,Josh Hader,L,0.87,25,3,11,Peter Lambert,R,3.67,25,Hunter Brown,R,3.52,17,Tatsuya Imai,R,5.2,15,Cristian Javier,R,5.5,10,Hayden Wesneski,R,3.35,8
KC,Alex Lange,R,5.98,10,4,10,Seth Lugo,R,4.99,30,Michael Wacha,R,3.25,29,Noah Cameron,L,3.93,27,Randy Dobnak,R,2.54,10,Daniel Lynch IV,L,3.52,7
LAA,Ben Joyce,R,3.18,4,7,7,Reid Detmers,L,3.32,29,Walbert Ureña,R,2.74,24,Grayson Rodriguez,R,6.28,17,Ryan Johnson,R,5.12,16,Yusei Kikuchi,L,4.75,11
LAD,Tanner Scott,L,2.47,22,6,8,Yoshinobu Yamamoto,R,2.62,26,Justin Wrobleski,L,3.84,21,Emmet Sheehan,R,5.08,21,Tyler Glasnow,R,3.12,10,Blake Snell,L,1.91,7
MIA,Pete Fairbanks,R,6.02,18,2,12,Sandy Alcantara,R,3.78,31,Eury Pérez,R,3.94,26,Janson Junk,R,4.54,22,Tyler Phillips,R,3.51,17,Ryan Gusto,R,4.14,16
MIL,Trevor Megill,R,2.59,27,6,8,Jacob Misiorowski,R,1.95,27,Kyle Harrison,L,3.66,23,Shane Drohan,L,4.09,17,Robert Gasser,L,4.43,17,Logan Henderson,R,2.34,16
MIN,Yoendrys Gómez,R,2.44,21,4,10,Taj Bradley,R,3.86,29,Joe Ryan,R,3.68,24,Bailey Ober,R,4.28,22,Zebby Matthews,R,4.98,21,Connor Prielipp,L,5.25,19
NYM,Kodai Senga,R,7.14,7,3,11,Nolan McLean,R,3.24,29,Christian Scott,R,3.81,21,Sean Manaea,L,4.79,16,Zac Thornton,L,3.53,12,Kodai Senga,R,7.14,8
NYY,David Bednar,R,2.63,32,5,9,Cam Schlittler,R,2.01,30,Will Warren,R,4.05,27,Gerrit Cole,R,3.41,19,Max Fried,L,2.73,18,Carlos Rodón,L,2.94,14
PHI,Jhoan Duran,R,1.82,30,5,9,Cristopher Sánchez,L,2.79,30,Aaron Nola,R,4.7,30,Jesús Luzardo,L,2.87,29,Zack Wheeler,R,3.14,25,Andrew Painter,R,5.71,20
PIT,Gregory Soto,L,3.08,14,3,11,Paul Skenes,R,3.83,29,Bubba Chandler,R,4.25,27,Jared Jones,R,4.1,18,Carmen Mlodzinski,R,3.87,12,Mason Montgomery,L,2.77,5
SD,Mason Miller,R,1.17,34,5,9,Michael King,R,3.0,29,Walker Buehler,R,4.61,29,Randy Vásquez,R,3.98,22,Robbie Ray,L,3.08,21,Griffin Canning,R,5.8,11
SEA,Andrés Muñoz,R,3.98,27,4,10,Logan Gilbert,R,3.72,29,Bryan Woo,R,4.03,27,George Kirby,R,4.18,27,Bryce Miller,R,4.22,18,Kade Anderson,L,4.29,4
SF,Dylan Smith,R,3.24,4,4,10,Landen Roupp,R,4.0,28,Logan Webb,R,4.1,26,Blade Tidwell,R,4.82,7,Matt Wilkinson,L,5.4,4,Cesar Perdomo,L,0.9,1
STL,Riley O'Brien,R,4.03,36,5,9,Michael McGreevy,R,3.92,28,Matthew Liberatore,L,5.57,28,Kyle Leahy,R,3.41,27,Andre Pallante,R,3.45,26,Quinn Mathews,L,4.11,6
TB,Bryan Baker,R,1.61,39,3,11,Drew Rasmussen,R,2.81,28,Nick Martinez,R,2.92,28,Griffin Jax,R,3.99,20,Ian Seymour,L,4.33,13,Steven Matz,L,5.72,11
TEX,Jacob Latz,L,1.85,28,8,6,MacKenzie Gore,L,4.51,30,Jacob deGrom,R,3.8,28,Kumar Rocker,R,4.61,24,Cal Quantrill,R,2.89,13,Cody Bradford,L,4.72,7
TOR,Louis Varland,R,1.24,33,4,10,Dylan Cease,R,2.4,27,Max Scherzer,R,6.38,15,Braydon Fisher,R,3.25,9,José Soriano,R,4.05,7,Spencer Miles,R,2.77,6
WSH,Clayton Beeter,R,4.5,12,5,9,Cade Cavalli,R,3.12,31,Jake Irvin,R,5.52,19,Andrew Alvarez,L,3.6,14,Jackson Kent,L,6.59,6,Brad Lord,R,3.76,5
