nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER
1629651,10746937,10746937,10726,137496,2026-03-20T19:30:00.000-04:00,,,Nic Claxton,C,BKN,NYK,20.5,Fantasy Score,fantasy,Goblin,26.0,1,https://static.prizepicks.com/images/players/NBA/Nicolas_Claxton_NBA_player_x3BMSe8T9DNEobv4x33ApP6o.webp,,,,,OK,0,110.6,86.1,39.3,38.4,13.7,23.4,14.3,47.699999999999996,25.599999999999998,51.199999999999996,5,20,23,4,4,2,4,4,15,16,6.989247311827956,5,Elite
1642874,10746918,10746918,283630,137496,2026-03-20T19:30:00.000-04:00,,,Danny Wolf,F,BKN,NYK,19.0,Fantasy Score,fantasy,Goblin,24.0,1,https://static.prizepicks.com/images/players/NBA/Danny_Wolf_NBA_player_CBqTuG4kPS2ipcqoFkh5BIbE.webp,,,,,OK,0,110.6,86.1,39.3,38.4,13.7,23.4,14.3,47.699999999999996,25.599999999999998,51.199999999999996,5,20,23,4,4,2,4,4,15,16,6.989247311827956,5,Elite
1629013,10746919,10746919,231331,137496,2026-03-20T19:30:00.000-04:00,,,Landry Shamet,G,NYK,BRK,13.0,Fantasy Score,fantasy,Goblin,18.0,1,https://static.prizepicks.com/images/players/NBA/Landry_Shamet_NBA_player_yi6BrLcJInF7ubm9padUOJ2s.webp,,,,,OK,0,115.6,85.4,42.1,32.8,12.4,24.1,13.9,52.60000000000001,29.700000000000003,59.400000000000006,16,4,1,2,17,17,24,24,20,20,15.053763440860214,17,Avg
1631105,10747242,10747242,87848,137497,2026-03-20T19:30:00.000-04:00,,,Jalen Duren,C,DET,GSW,50.5,Fantasy Score,fantasy,Demon,43.5,1,https://static.prizepicks.com/images/players/NBA/Jalen_Duren_NBA_player_BGtA2SxfIEpqaOA2zn9FJZhp.webp,,,,,OK,0,114.4,88.6,41.9,35.8,12.7,22.1,16.0,52.8,29.2,58.4,12,8,8,14,16,19,18,18,7,4,13.18279569892473,12,Above Avg
1631105,10747227,10747227,87848,137497,2026-03-20T19:30:00.000-04:00,,,Jalen Duren,C,DET,GSW,37.5,Fantasy Score,fantasy,Goblin,43.5,1,https://static.prizepicks.com/images/players/NBA/Jalen_Duren_NBA_player_BGtA2SxfIEpqaOA2zn9FJZhp.webp,,,,,OK,0,114.4,88.6,41.9,35.8,12.7,22.1,16.0,52.8,29.2,58.4,12,8,8,14,16,19,18,18,7,4,13.18279569892473,12,Above Avg
204001,10747245,10747245,300935,137497,2026-03-20T19:30:00.000-04:00,,,Kristaps Porziņģis,F-C,GSW,DET,37.0,Fantasy Score,fantasy,Demon,30.5,1,https://static.prizepicks.com/images/manual/Kristaps_PorziņģisGSW.png,,,,,OK,0,109.8,85.1,37.6,36.5,12.7,27.6,17.0,48.599999999999994,24.900000000000002,49.800000000000004,3,8,13,1,1,4,3,3,30,1,5.21505376344086,2,Elite
1641709,10747232,10747232,173789,137497,2026-03-20T19:30:00.000-04:00,,,Ausar Thompson,G-F,DET,GSW,34.5,Fantasy Score,fantasy,Demon,29.0,1,https://static.prizepicks.com/images/players/NBA/Ausar_Thompson_NBA_player_7Obr7GoiKRNtF8Nj1LYUn3gX.webp,,,,,OK,0,114.4,88.6,41.9,35.8,12.7,22.1,16.0,52.8,29.2,58.4,12,8,8,14,16,19,18,18,7,4,13.18279569892473,12,Above Avg
1641764,10747219,10747219,173745,137497,2026-03-20T19:30:00.000-04:00,,,Brandin Podziemski,G,GSW,DET,33.5,Fantasy Score,fantasy,Demon,27.5,1,https://static.prizepicks.com/images/players/NBA/Brandin_Podziemski_NBA_player_xulwA1dAXTbxo9PLVFXHRYB6.webp,,,,,OK,0,109.8,85.1,37.6,36.5,12.7,27.6,17.0,48.599999999999994,24.900000000000002,49.800000000000004,3,8,13,1,1,4,3,3,30,1,5.21505376344086,2,Elite
1642450,10747224,10747224,279579,137497,2026-03-20T19:30:00.000-04:00,,,Daniss Jenkins,G,DET,GSW,33.5,Fantasy Score,fantasy,Demon,28.0,1,https://static.prizepicks.com/images/players/NBA/Daniss_Jenkins_NBA_player_gomI5shGs9qQrrpbBB8lXZ43.webp,,,,,OK,0,114.4,88.6,41.9,35.8,12.7,22.1,16.0,52.8,29.2,58.4,12,8,8,14,16,19,18,18,7,4,13.18279569892473,12,Above Avg
1629001,10747228,10747228,217540,137497,2026-03-20T19:30:00.000-04:00,,,De'Anthony Melton,G,GSW,DET,32.5,Fantasy Score,fantasy,Demon,26.5,1,https://static.prizepicks.com/images/players/NBA/De'Anthony_Melton_NBA_player_RnS4xc5JnaUejenuOXgRZ2yC.webp,,,,,OK,0,109.8,85.1,37.6,36.5,12.7,27.6,17.0,48.599999999999994,24.900000000000002,49.800000000000004,3,8,13,1,1,4,3,3,30,1,5.21505376344086,2,Elite
