team_name,pp_name,league,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER
Santa Clara,SANTA CLARA,Primeira Liga,26,31.0,1.192,,0,6,0,13,7,Above Avg
Casa Pia,CASA PIA,Primeira Liga,25,44.0,1.76,,0,5,0,11,16,Weak
C.D. Nacional,C.D. NACIONAL,Primeira Liga,26,38.0,1.462,,0,5,0,14,8,Above Avg
Tondela,TONDELA,Primeira Liga,25,39.0,1.56,,0,4,0,14,11,Avg
AVS,AVS,Primeira Liga,26,58.0,2.231,,0,1,0,18,18,Weak
Heart of Midlothian,HEART OF MIDLOTHIAN,Scottish Prem,30,25.0,0.833,,0,19,0,5,2,Elite
Celtic,CELTIC,Scottish Prem,30,32.0,1.067,,0,19,0,7,4,Above Avg
Rangers,RANGERS,Scottish Prem,30,25.0,0.833,,0,16,0,2,2,Elite
Motherwell,MOTHERWELL,Scottish Prem,30,23.0,0.767,,0,14,0,5,1,Elite
Hibernian,HIBERNIAN,Scottish Prem,30,35.0,1.167,,0,12,0,7,5,Above Avg
Falkirk,FALKIRK,Scottish Prem,30,38.0,1.267,,0,12,0,11,6,Above Avg
Dundee United,DUNDEE UNITED,Scottish Prem,30,48.0,1.6,,0,7,0,10,9,Avg
Dundee,DUNDEE,Scottish Prem,30,48.0,1.6,,0,8,0,14,9,Avg
Aberdeen,ABERDEEN,Scottish Prem,30,42.0,1.4,,0,8,0,16,7,Avg
St Mirren,ST MIRREN,Scottish Prem,30,46.0,1.533,,0,5,0,16,8,Avg
Kilmarnock,KILMARNOCK,Scottish Prem,30,60.0,2.0,,0,5,0,16,12,Weak
Livingston,LIVINGSTON,Scottish Prem,30,59.0,1.967,,0,1,0,17,11,Weak
Internazionale,INTERNAZIONALE,Serie A,29,23.0,0.793,,0,22,0,5,3,Elite
AC Milan,MILAN,Serie A,29,21.0,0.724,,0,17,0,3,1,Elite
Napoli,NAPOLI,Serie A,29,30.0,1.034,,0,18,0,6,8,Above Avg
Como,COMO,Serie A,29,22.0,0.759,,0,15,0,5,2,Elite
Juventus,JUVENTUS,Serie A,29,28.0,0.966,,0,15,0,6,6,Above Avg
AS Roma,ROMA,Serie A,29,23.0,0.793,,0,16,0,10,3,Elite
Atalanta,ATALANTA,Serie A,29,27.0,0.931,,0,12,0,6,5,Elite
Bologna,BOLOGNA,Serie A,29,34.0,1.172,,0,12,0,11,9,Above Avg
Lazio,LAZIO,Serie A,29,28.0,0.966,,0,10,0,9,6,Above Avg
Sassuolo,SASSUOLO,Serie A,29,39.0,1.345,,0,11,0,13,11,Avg
Udinese,UDINESE,Serie A,29,42.0,1.448,,0,10,0,13,15,Avg
Parma,PARMA,Serie A,29,36.0,1.241,,0,8,0,11,10,Above Avg
Genoa,GENOA,Serie A,29,40.0,1.379,,0,8,0,12,13,Avg
Torino,TORINO,Serie A,29,50.0,1.724,,0,9,0,14,19,Weak
Cagliari,CAGLIARI,Serie A,29,41.0,1.414,,0,7,0,13,14,Avg
Fiorentina,FIORENTINA,Serie A,29,43.0,1.483,,0,6,0,13,16,Weak
Lecce,LECCE,Serie A,29,39.0,1.345,,0,7,0,16,11,Avg
Cremonese,CREMONESE,Serie A,29,44.0,1.517,,0,5,0,15,17,Weak
Pisa,PISA,Serie A,29,49.0,1.69,,0,2,0,15,18,Weak
Hellas Verona,VERONA,Serie A,29,51.0,1.759,,0,3,0,17,20,Weak
PAOK Salonika,PAOK SALONIKA,Super League Greece,25,15.0,0.6,,0,17,0,2,2,Elite
Olympiacos,OLYMPIACOS,Super League Greece,25,11.0,0.44,,0,17,0,2,1,Elite
AEK Athens,AEK,Super League Greece,25,17.0,0.68,,0,17,0,2,3,Elite
Panathinaikos,PANATHINAIKOS,Super League Greece,25,25.0,1.0,,0,13,0,5,4,Elite
Levadiakos,LEVADIAKOS,Super League Greece,25,37.0,1.48,,0,11,0,8,7,Above Avg
Aris,ARIS,Super League Greece,25,25.0,1.0,,0,6,0,7,4,Elite
Atromitos,ATROMITOS,Super League Greece,25,29.0,1.16,,0,7,0,10,6,Above Avg
OFI Crete,OFI CRETE,Super League Greece,25,45.0,1.8,,0,9,0,14,13,Weak
Volos NFC,VOLOS NFC,Super League Greece,25,37.0,1.48,,0,8,0,13,7,Above Avg
Kifisia,KIFISIA,Super League Greece,25,39.0,1.56,,0,6,0,10,10,Avg
Panetolikos,PANETOLIKOS,Super League Greece,25,38.0,1.52,,0,7,0,14,9,Avg
Larissa FC,LARISSA,Super League Greece,25,39.0,1.56,,0,4,0,11,10,Avg
Asteras Tripoli,ASTERAS TRIPOLI,Super League Greece,25,39.0,1.56,,0,3,0,14,10,Avg
Panserraikos FC,PANSERRAIKOS,Super League Greece,25,55.0,2.2,,0,4,0,17,14,Weak
Galatasaray,GALATASARAY,Süper Lig,26,18.0,0.692,,0,20,0,2,1,Elite
Fenerbahce,FENERBAHCE,Süper Lig,26,27.0,1.038,,0,16,0,1,3,Elite
Trabzonspor,TRABZONSPOR,Süper Lig,26,29.0,1.115,,0,17,0,3,5,Above Avg
Besiktas,BESIKTAS,Süper Lig,26,30.0,1.154,,0,14,0,5,6,Above Avg
Goztepe,GOZTEPE,Süper Lig,26,20.0,0.769,,0,11,0,5,2,Elite
Istanbul Basaksehir,ISTANBUL BASAKSEHIR,Süper Lig,26,30.0,1.154,,0,12,0,8,6,Above Avg
Samsunspor,SAMSUNSPOR,Süper Lig,26,31.0,1.192,,0,8,0,7,8,Above Avg
Kocaelispor,KOCAELISPOR,Süper Lig,26,27.0,1.038,,0,9,0,11,3,Elite
Gaziantep FK,GAZIANTEP,Süper Lig,26,42.0,1.615,,0,8,0,9,15,Weak
Caykur Rizespor,CAYKUR RIZESPOR,Süper Lig,26,36.0,1.385,,0,7,0,10,10,Avg
Alanyaspor,ALANYASPOR,Süper Lig,26,32.0,1.231,,0,5,0,8,9,Above Avg
Konyaspor,KONYASPOR,Süper Lig,26,39.0,1.5,,0,6,0,11,14,Avg
