player,player_norm,gsis_id,pfr_player_id,team,position,season,as_of_week,games,snap_pct_L3,snap_pct_season,wopr_L3,wopr_season,target_share_L3,target_share_season,air_yards_share_L3,route_pct_L3,route_pct_season,route_pct_source,targets_L3,receptions_L3
Josh Cuevas,josh cuevas,nan,CuevJo00,BAL,TE,2026,1,1,9.0,9.0,,,,,,9.0,9.0,snap_proxy,0,0
D.J. Moore,dj moore,00-0034827,MoorD.00,BUF,WR,2026,1,1,76.0,76.0,0.7173,0.7173,0.2857,0.2857,0.4125,76.0,76.0,snap_proxy,8,5
Dalton Kincaid,dalton kincaid,00-0038933,KincDa00,BUF,TE,2026,1,1,72.0,72.0,0.5005,0.5005,0.2143,0.2143,0.2559,72.0,72.0,snap_proxy,6,5
Khalil Shakir,khalil shakir,00-0037261,ShakKh00,BUF,WR,2026,1,1,53.0,53.0,0.3927,0.3927,0.2143,0.2143,0.1018,53.0,53.0,snap_proxy,6,4
Josh Palmer,josh palmer,00-0036988,PalmJo00,BUF,WR,2026,1,1,31.0,31.0,0.2205,0.2205,0.0714,0.0714,0.1619,31.0,31.0,snap_proxy,2,1
James Cook,james cook,00-0037248,CookJa01,BUF,RB,2026,1,1,72.0,72.0,0.207,0.207,0.1429,0.1429,-0.0104,72.0,72.0,snap_proxy,4,3
Keon Coleman,keon coleman,00-0039901,ColeKe02,BUF,WR,2026,1,1,50.0,50.0,0.0609,0.0609,0.0357,0.0357,0.0104,50.0,50.0,snap_proxy,1,1
Dawson Knox,dawson knox,00-0035689,KnoxDa00,BUF,TE,2026,1,1,67.0,67.0,0.0572,0.0572,0.0357,0.0357,0.0052,67.0,67.0,snap_proxy,1,1
Frank Gore Jr.,frank gore,00-0039471,GoreFr01,BUF,RB,2026,1,1,19.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,snap_proxy,0,0
Greg Dortch,greg dortch,00-0035500,DortGr01,BUF,WR,2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snap_proxy,0,0
Keleki Latu,keleki latu,00-0040363,LatuKe00,BUF,TE,2026,1,1,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,snap_proxy,0,0
Ray Davis,ray davis,00-0039875,DaviRa04,BUF,RB,2026,1,1,9.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,snap_proxy,0,0
Jackson Hawes,jackson hawes,nan,HaweJa00,BUF,TE,2026,1,1,43.0,43.0,,,,,,43.0,43.0,snap_proxy,0,0
Jalen Coker,jalen coker,00-0039491,CokeJa01,CAR,WR,2026,1,1,84.0,84.0,0.6342,0.6342,0.2647,0.2647,0.3388,84.0,84.0,snap_proxy,9,8
Tetairoa McMillan,tetairoa mcmillan,00-0040124,McMiTe00,CAR,WR,2026,1,1,82.0,82.0,0.5805,0.5805,0.2353,0.2353,0.3251,82.0,82.0,snap_proxy,8,5
Tommy Tremble,tommy tremble,00-0037005,TremTo00,CAR,TE,2026,1,1,56.0,56.0,0.2646,0.2646,0.1471,0.1471,0.0628,56.0,56.0,snap_proxy,5,3
Jonathon Brooks,jonathon brooks,00-0039344,BrooJo02,CAR,RB,2026,1,1,19.0,19.0,0.1456,0.1456,0.0588,0.0588,0.082,19.0,19.0,snap_proxy,2,1
Chuba Hubbard,chuba hubbard,00-0036555,HubbCh01,CAR,RB,2026,1,1,71.0,71.0,0.1324,0.1324,0.0882,0.0882,0.0,71.0,71.0,snap_proxy,3,3
Xavier Legette,xavier legette,00-0039342,LegeXa00,CAR,WR,2026,1,1,53.0,53.0,0.1265,0.1265,0.0588,0.0588,0.0546,53.0,53.0,snap_proxy,2,0
Mitchell Evans,mitchell evans,00-0040187,EvanMi01,CAR,TE,2026,1,1,40.0,40.0,0.1054,0.1054,0.0588,0.0588,0.0246,40.0,40.0,snap_proxy,2,1
Darren Waller,darren waller,00-0031610,WallDa01,CAR,TE,2026,1,1,35.0,35.0,0.1035,0.1035,0.0588,0.0588,0.0219,35.0,35.0,snap_proxy,2,2
Jimmy Horn,jimmy horn,00-0040218,HornJi00,CAR,WR,2026,1,1,21.0,21.0,0.0499,0.0499,0.0294,0.0294,0.0082,21.0,21.0,snap_proxy,1,0
AJ Dillon,aj dillon,00-0036265,DillAJ00,CAR,RB,2026,1,1,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,snap_proxy,0,0
Brycen Tremayne,brycen tremayne,00-0038840,TremBr00,CAR,WR,2026,1,1,18.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,snap_proxy,0,0
