team,box_rank,run_stop_rank,avg_box_players,blitz_rate,avg_pass_rushers,ftn_plays,yards_before_contact_allowed,yards_after_contact_allowed,tier,season
ARI,21,15,4.728571428571429,0.1,2.3285714285714287,70,2.1904761904761907,1.6666666666666667,Below Avg,2026
ATL,6,1,4.9397590361445785,0.0963855421686747,2.3132530120481927,83,0.9523809523809523,1.8095238095238095,Elite,2026
BAL,30,22,4.549295774647887,0.11267605633802817,2.0985915492957745,71,2.85,2.25,Weak,2026
BUF,7,19,5.357142857142857,0.15306122448979592,2.1020408163265305,98,2.59375,1.28125,Above Avg,2026
CAR,27,30,4.957894736842105,0.15789473684210525,1.8526315789473684,95,3.7948717948717947,3.6666666666666665,Weak,2026
CHI,28,31,4.865168539325842,0.1797752808988764,2.3258426966292136,89,4.090909090909091,1.5909090909090908,Weak,2026
CIN,29,22,4.64,0.10666666666666667,2.1466666666666665,75,2.85,1.6,Weak,2026
CLE,7,2,4.767123287671233,0.0410958904109589,1.356164383561644,73,1.3125,2.625,Above Avg,2026
DAL,7,14,5.156626506024097,0.10843373493975904,1.7108433734939759,83,2.1621621621621623,2.2972972972972974,Above Avg,2026
DEN,2,5,5.329268292682927,0.18292682926829268,1.8780487804878048,82,1.5526315789473684,4.2368421052631575,Elite,2026
DET,11,18,5.308411214953271,0.205607476635514,2.794392523364486,107,2.44,1.2,Above Avg,2026
GB,13,3,4.726190476190476,0.17857142857142858,1.8333333333333333,84,1.4705882352941178,1.6764705882352942,Avg,2026
HOU,23,27,5.041666666666667,0.08333333333333333,2.1527777777777777,72,3.1904761904761907,0.9047619047619048,Below Avg,2026
IND,19,17,4.77906976744186,0.1511627906976744,1.686046511627907,86,2.324324324324324,3.135135135135135,Avg,2026
JAX,25,21,4.746268656716418,0.16417910447761194,2.0597014925373136,67,2.772727272727273,1.1818181818181819,Below Avg,2026
KC,19,6,4.485294117647059,0.16176470588235295,2.2058823529411766,68,1.6,2.466666666666667,Avg,2026
LAC,16,13,4.835164835164835,0.10989010989010989,1.967032967032967,91,2.1176470588235294,1.2941176470588236,Avg,2026
LAR,16,32,5.733333333333333,0.06666666666666667,2.026666666666667,75,4.333333333333333,1.4666666666666666,Avg,2026
LV,25,26,4.890410958904109,0.0821917808219178,2.2465753424657535,73,3.1666666666666665,0.9444444444444444,Below Avg,2026
MIA,1,7,5.646341463414634,0.12195121951219512,1.6951219512195121,82,1.6756756756756757,1.837837837837838,Elite,2026
MIN,7,11,5.103448275862069,0.42528735632183906,2.793103448275862,87,2.0476190476190474,1.0952380952380953,Above Avg,2026
NE,31,25,4.507462686567164,0.19402985074626866,1.9850746268656716,67,2.9545454545454546,1.4545454545454546,Weak,2026
NO,22,29,5.134020618556701,0.09278350515463918,1.7938144329896908,97,3.6666666666666665,1.3333333333333333,Below Avg,2026
NYG,4,8,5.2898550724637685,0.10144927536231885,2.4927536231884058,69,1.8333333333333333,2.0,Elite,2026
NYJ,31,28,4.641791044776119,0.1791044776119403,2.626865671641791,67,3.4285714285714284,1.4285714285714286,Weak,2026
PHI,23,16,4.719101123595506,0.11235955056179775,1.9325842696629214,89,2.3125,1.8125,Below Avg,2026
PIT,4,4,5.12987012987013,0.025974025974025976,1.4805194805194806,77,1.4838709677419355,2.3870967741935485,Elite,2026
SEA,3,9,5.440476190476191,0.14285714285714285,2.2738095238095237,84,1.903225806451613,1.6129032258064515,Elite,2026
SF,13,24,5.430555555555555,0.05555555555555555,1.9027777777777777,72,2.896551724137931,1.3103448275862069,Avg,2026
TB,15,20,5.2125,0.2125,2.2125,80,2.6666666666666665,1.2592592592592593,Avg,2026
TEN,12,12,5.048192771084337,0.08433734939759036,1.4578313253012047,83,2.076923076923077,1.8205128205128205,Above Avg,2026
WSH,18,10,4.680555555555555,0.18055555555555555,2.0694444444444446,72,2.04,3.4,Avg,2026
