team,pass_yards_allowed_pg,rush_yards_allowed_pg,pass_tds_allowed,points_allowed_pg,pass_def_rank,rush_def_rank,opp_fg_made,opp_fg_att,opp_fg_pct,opp_fg_made_pg,opp_xp_made,opp_kick_pts_pg,fg_def_rank,kick_pts_def_rank,season
ARI,230.76471,126.941,30.0,28.705882352941178,24,25,,,,,,,,,2026
ATL,200.41176,126.235,57.0,23.58823529411765,13,24,,,,,,,,,2026
BAL,247.94118,106.647,30.0,23.41176470588235,30,10,,,,,,,,,2026
BUF,156.94118,136.176,36.0,21.47058823529412,1,28,,,,,,,,,2026
CAR,203.94118,123.294,30.0,22.352941176470587,15,20,,,,,,,,,2026
CHI,227.23529,134.529,35.0,24.41176470588235,22,27,,,,,,,,,2026
CIN,233.82353,147.059,34.0,28.94117647058824,26,32,,,,,,,,,2026
CLE,167.23529,116.412,53.0,22.294117647058822,3,16,,,,,,,,,2026
DAL,251.52942,125.471,35.0,30.058823529411764,32,23,,,,,,,,,2026
DEN,187.17647,91.059,68.0,18.294117647058822,7,2,,,,,,,,,2026
DET,217.35294,114.529,49.0,24.294117647058822,20,14,,,,,,,,,2026
GB,194.11765,117.706,36.0,21.176470588235293,11,18,,,,,,,,,2026
HOU,183.52942,93.706,47.0,17.352941176470587,6,4,,,,,,,,,2026
IND,247.94118,101.882,39.0,24.23529411764705,30,7,,,,,,,,,2026
JAX,218.05882,85.588,32.0,19.764705882352946,21,1,,,,,,,,,2026
KC,195.82353,105.706,35.0,19.294117647058822,12,9,,,,,,,,,2026
LAC,179.88235,105.353,45.0,20.0,5,8,,,,,,,,,2026
LAR,216.70589,110.824,47.0,20.352941176470587,19,12,,,,,,,,,2026
LV,201.0,116.824,37.0,25.41176470588235,14,17,,,,,,,,,2026
MIA,216.35294,132.412,39.0,24.94117647058824,18,26,,,,,,,,,2026
MIN,158.47058,124.118,49.0,19.58823529411765,2,21,,,,,,,,,2026
NE,193.52942,101.706,35.0,18.823529411764707,9,6,,,,,,,,,2026
NO,179.17647,120.588,45.0,22.529411764705884,4,19,,,,,,,,,2026
NYG,214.23529,145.294,39.0,25.823529411764707,16,31,,,,,,,,,2026
NYJ,216.11765,139.471,26.0,29.58823529411765,17,29,,,,,,,,,2026
PHI,189.76471,124.412,42.0,19.11764705882353,8,22,,,,,,,,,2026
PIT,243.88235,113.059,48.0,22.764705882352946,29,13,,,,,,,,,2026
SEA,193.94118,91.941,47.0,17.176470588235293,10,3,,,,,,,,,2026
SF,232.41176,107.824,20.0,21.823529411764707,25,11,,,,,,,,,2026
TB,238.17647,99.059,37.0,24.176470588235293,27,5,,,,,,,,,2026
TEN,230.52942,114.588,42.0,28.11764705882353,23,15,,,,,,,,,2026
WSH,242.47058,141.824,42.0,26.529411764705884,28,30,,,,,,,,,2026
