season,week,game_id,player,player_norm,gsis_id,pfr_player_id,team,opponent,position,offense_snaps,snap_pct,route_pct,route_pct_source,targets,receptions,receiving_yards,target_share,air_yards_share,wopr,player_display_name,player_name
2026,1,2026_01_ATL_PIT,Pat Freiermuth,pat freiermuth,00-0036894,FreiPa00,PIT,ATL,TE,49,73.0,73.0,snap_proxy,5.0,5.0,46.0,0.135135135135135,0.0515970515970516,0.238820638820639,Pat Freiermuth,P.Freiermuth
2026,1,2026_01_ATL_PIT,Darnell Washington,darnell washington,00-0038558,WashDa03,PIT,ATL,TE,43,64.0,64.0,snap_proxy,2.0,2.0,18.0,0.0540540540540541,0.0147420147420147,0.0914004914004914,Darnell Washington,D.Washington
2026,1,2026_01_ATL_PIT,Rico Dowdle,rico dowdle,00-0036139,DowdRi01,PIT,ATL,RB,39,57.99999999999999,57.99999999999999,snap_proxy,5.0,2.0,6.0,0.135135135135135,0.0098280098280098,0.20958230958231,Rico Dowdle,R.Dowdle
2026,1,2026_01_ATL_PIT,Roman Wilson,roman wilson,00-0039739,WilsRo02,PIT,ATL,WR,37,55.00000000000001,55.00000000000001,snap_proxy,6.0,3.0,26.0,0.162162162162162,0.30958230958231,0.45995085995086,Roman Wilson,R.Wilson
2026,1,2026_01_ATL_PIT,Jaylen Warren,jaylen warren,00-0037228,WarrJa01,PIT,ATL,RB,25,37.0,37.0,snap_proxy,6.0,5.0,27.0,0.162162162162162,-0.0147420147420147,0.232923832923833,Jaylen Warren,J.Warren
2026,1,2026_01_ATL_PIT,Riley Nowakowski,riley nowakowski,00-0041398,NowaRi00,PIT,ATL,FB,8,12.0,12.0,snap_proxy,0.0,0.0,0.0,0.0,0.0,0.0,Riley Nowakowski,R.Nowakowski
2026,1,2026_01_ATL_PIT,Eli Heidenreich,eli heidenreich,00-0041490,HeidEl00,PIT,ATL,RB,3,4.0,4.0,snap_proxy,0.0,0.0,0.0,0.0,0.0,0.0,Eli Heidenreich,E.Heidenreich
2026,1,2026_01_ATL_PIT,Germie Bernard,germie bernard,,BernGe00,PIT,ATL,WR,3,4.0,4.0,snap_proxy,,,,,,,,
2026,1,2026_01_ATL_PIT,Robert Tonyan,robert tonyan,,TonyRo00,PIT,ATL,TE,2,3.0,3.0,snap_proxy,,,,,,,,
2026,1,2026_01_ATL_PIT,Ben Skowronek,ben skowronek,,SkowBe00,PIT,ATL,WR,0,0.0,0.0,snap_proxy,,,,,,,,
2026,1,2026_01_ATL_PIT,Kaden Wetjen,kaden wetjen,00-0041397,WetjKa00,PIT,ATL,WR,0,0.0,0.0,snap_proxy,0.0,0.0,0.0,0.0,0.0,0.0,Kaden Wetjen,K.Wetjen
2026,1,2026_01_ATL_PIT,Drake London,drake london,00-0037238,LondDr00,ATL,PIT,WR,59,98.0,98.0,snap_proxy,4.0,2.0,29.0,0.210526315789474,0.285714285714286,0.51578947368421,Drake London,D.London
2026,1,2026_01_ATL_PIT,Bijan Robinson,bijan robinson,00-0038542,RobiBi01,ATL,PIT,RB,46,77.0,77.0,snap_proxy,10.0,8.0,90.0,0.526315789473684,-0.38961038961039,0.516746411483254,Bijan Robinson,Bi.Robinson
2026,1,2026_01_ATL_PIT,Kyle Pitts,kyle pitts,00-0036970,PittKy00,ATL,PIT,TE,38,63.0,63.0,snap_proxy,1.0,0.0,0.0,0.0526315789473684,0.337662337662338,0.315311004784689,Kyle Pitts,K.Pitts
2026,1,2026_01_ATL_PIT,Jahan Dotson,jahan dotson,00-0037741,DotsJa00,ATL,PIT,WR,38,63.0,63.0,snap_proxy,3.0,1.0,19.0,0.157894736842105,0.675324675324675,0.709569377990431,Jahan Dotson,J.Dotson
2026,1,2026_01_ATL_PIT,Charlie Woerner,charlie woerner,,WoerCh00,ATL,PIT,TE,37,62.0,62.0,snap_proxy,,,,,,,,
2026,1,2026_01_ATL_PIT,Zachariah Branch,zachariah branch,00-0041044,BranZa00,ATL,PIT,WR,18,30.0,30.0,snap_proxy,0.0,0.0,0.0,0.0,0.0,0.0,Zachariah Branch,Z.Branch
2026,1,2026_01_ATL_PIT,Olamide Zaccheaus,olamide zaccheaus,00-0035208,ZaccOl01,ATL,PIT,WR,18,30.0,30.0,snap_proxy,1.0,1.0,5.0,0.0526315789473684,0.0649350649350649,0.124401913875598,Olamide Zaccheaus,O.Zaccheaus
2026,1,2026_01_ATL_PIT,Brian Robinson Jr.,brian robinson,00-0037746,RobiBr01,ATL,PIT,RB,15,25.0,25.0,snap_proxy,0.0,0.0,0.0,0.0,0.0,0.0,Brian Robinson,Br.Robinson
2026,1,2026_01_ATL_PIT,Austin Hooper,austin hooper,,HoopAu00,ATL,PIT,TE,14,23.0,23.0,snap_proxy,,,,,,,,
2026,1,2026_01_ATL_PIT,Chris Blair,chris blair,00-0036463,BlaiCh00,ATL,PIT,WR,10,17.0,17.0,snap_proxy,0.0,0.0,0.0,0.0,0.0,0.0,Chris Blair,C.Blair
