projection_id,player_name,team,prop_type,line_score,start_time,sport,league,pick_type,standard_line,goblin_line,demon_line,pp_projection_id,player_id,pp_game_id,player,line,pos,opp_team,pp_home_team,pp_away_team,image_url,tournament,pp_updated_at,fetched_at,prop_norm,is_doubles,pp_description,unsupported_prop,espn_athlete_id,tour,standard_line_source,deviation_level,opp_def_tier,DEF_TIER,OVERALL_DEF_RANK,stat_status,aces_per_match,double_faults_per_match,first_serve_pct,games_won_per_match,sets_won_per_match,win_rate_L10,best_surface,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,actual_series,surface,surface_encoded,aces_per_match_mean,df_per_match_mean,first_serve_won_pct,win_rate_on_surface,n_matches_on_surface,surface_specialist,surface_struggle,h2h_win_rate_on_surface,n_h2h_matches,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,l5_over,l5_under,last5_over,last5_under,last5_push,line_games_played_10,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,round,is_grand_slam,player_atp_rank,opponent_rank,ranking_diff,position_group,minutes_tier,shot_role,usage_role,game_script_mult,game_script_note,avg_minutes,composite_hit_rate,composite_score,projection,edge,ml_prob,edge_score,rank_score,line_hit_rate,ml_edge,final_score,consistency_grade,consistency_multiplier,blended_score,bet_direction,tier_source,tier_basis,tier,void_reason,espn_player_id,abs_edge,model_dir,final_bet_direction,final_dir_reason,direction,prob_source,distribution_n,distribution_std
14619894,Coco Gauff,COCO GAUFF,Total Games Won,9.5,2026-09-09T11:30:00.000-04:00,Tennis,WTA / HARD,Goblin,12.5,,,14619894,201229,185779,Coco Gauff,9.5,Player,MIRRA ANDREEVA,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,2026-09-08T09:48:12.325-04:00,2026-09-08T13:10:29-04:00,games_won,0,,0,3626,WTA,sibling_or_pp,3,Elite,Elite,5,OK,,,0.6279834861859119,,,,,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,12.2,12.4,12.4,,hard,0,3.26027397260274,7.205479452054795,0.6993628090812983,0.759493670886076,79.0,1.0,0.0,,,OK,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,,0,4,5.0,-1.0,WTA,2,NEUTRAL,ELITE,1,,,1.0,2.0,12.2,2.6999999999999993,0.58,-0.357,8.979489570093458,1.0,0.07840000000000003,8.530515091588784,?,0.95,0.874,OVER,distance,distance,B,,3626,2.6999999999999993,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,10,0.6992
14619892,Coco Gauff,COCO GAUFF,Total Games Won,11.5,2026-09-09T11:30:00.000-04:00,Tennis,WTA / HARD,Goblin,12.5,,,14619892,201229,185779,Coco Gauff,11.5,Player,MIRRA ANDREEVA,,,https://www.flashscore.com/res/image/data/UDnGEpDr-fa4Gaz3a.png,,2026-09-08T09:48:12.325-04:00,2026-09-08T13:10:29-04:00,games_won,0,,0,3626,WTA,sibling_or_pp,1,Elite,Elite,5,OK,,,0.6279834861859119,,,,,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,12.2,12.4,12.4,,hard,0,3.26027397260274,7.205479452054795,0.6993628090812983,0.759493670886076,79.0,1.0,0.0,,,OK,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,,0,4,5.0,-1.0,WTA,2,NEUTRAL,ELITE,1,,,1.0,2.0,12.2,0.6999999999999993,0.58,-0.0882,8.979489570093458,1.0,0.07840000000000003,8.530515091588784,?,0.95,0.874,OVER,distance,distance,C,,3626,0.6999999999999993,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,10,0.6992
14620512,Alexander Zverev,ALEXANDER ZVEREV,Total Sets,3.5,2026-09-09T11:30:00.000-04:00,Tennis,ATP / HARD,Goblin,3.5,,,14620512,201395,185810,Alexander Zverev,3.5,Player,BOTIC VAN DE ZANDSCHULP,,,https://static.prizepicks.com/images/manual/Alexander Zverev.png,,2026-09-08T09:48:12.325-04:00,2026-09-08T13:10:29-04:00,total_sets,0,,0,2375,ATP,pp_or_step1,2,Below Avg,Below Avg,70,OK,,,0.7261248892215003,,,,,5.0,5.0,4.0,4.0,4.0,,,,,,4.4,4.4,4.4,,hard,0,8.821428571428571,1.571428571428571,0.7661283351954835,0.7209302325581395,86.0,1.0,0.0,,,OK,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,,0,2,70.0,-68.0,ATP,2,NEUTRAL,ELITE,1,,,1.0,1.95,4.4,0.9000000000000004,0.4782,-0.2328,8.74024064859813,1.0,0.07840000000000003,8.303228616168223,?,0.95,0.8435,OVER,distance,distance,D,,2375,0.9000000000000004,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,5,0.5477
14618476,Karen Khachanov,KAREN KHACHANOV,Total Games,37.5,2026-09-09T11:30:00.000-04:00,Tennis,ATP / HARD,Goblin,39.5,,,14618476,201396,185783,Karen Khachanov,37.5,Player,ALEXANDER BLOCKX,,,https://static.prizepicks.com/images/manual/Karen K.png,,2026-09-08T09:48:12.325-04:00,2026-09-08T13:10:29-04:00,match_total_games,0,,0,2367,ATP,sibling_or_pp,1,Avg,Avg,34,OK,,,0.6446638518747103,,,,,52.0,38.0,48.0,39.0,,,,,,,44.25,44.25,44.25,,hard,0,7.968253968253968,2.047619047619047,0.764327151305763,0.5714285714285714,63.0,0.0,0.0,,,OK,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,,0,50,34.0,16.0,ATP,2,NEUTRAL,FIELD,1,,,1.0,2.0,44.25,6.75,0.58,-0.4188,8.979489570093458,1.0,0.07840000000000003,8.530515091588784,?,0.95,0.874,OVER,distance,distance,B,,2367,6.75,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,4,6.8496
14618693,Karen Khachanov,KAREN KHACHANOV,Total Games,36.5,2026-09-09T11:30:00.000-04:00,Tennis,ATP / HARD,Goblin,39.5,,,14618693,201396,185783,Karen Khachanov,36.5,Player,ALEXANDER BLOCKX,,,https://static.prizepicks.com/images/manual/Karen K.png,,2026-09-08T09:48:12.325-04:00,2026-09-08T13:10:29-04:00,match_total_games,0,,0,2367,ATP,sibling_or_pp,2,Avg,Avg,34,OK,,,0.6446638518747103,,,,,52.0,38.0,48.0,39.0,,,,,,,44.25,44.25,44.25,,hard,0,7.968253968253968,2.047619047619047,0.764327151305763,0.5714285714285714,63.0,0.0,0.0,,,OK,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,,0,50,34.0,16.0,ATP,2,NEUTRAL,FIELD,1,,,1.0,2.0,44.25,7.75,0.58,-0.4196,8.979489570093458,1.0,0.07840000000000003,8.530515091588784,?,0.95,0.874,OVER,distance,distance,B,,2367,7.75,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,4,6.8496
14577242,Frances Tiafoe,FRANCES TIAFOE,Total Games,33.5,2026-09-08T13:45:00.000-04:00,Tennis,ATP / HARD,Goblin,40.0,,,14577242,201267,185558,Frances Tiafoe,33.5,Player,ALEX MICHELSEN,,,https://static.prizepicks.com/images/manual/tiafoe.png,,2026-09-08T13:10:19.092-04:00,2026-09-08T13:10:29-04:00,match_total_games,0,,0,2708,ATP,sibling_or_pp,2,Avg,Avg,46,OK,,,0.5948380261102764,,,,,48.0,55.0,38.0,40.0,,,,,,,45.25,45.25,45.25,,hard,0,8.310344827586206,2.155172413793104,0.7471931813542996,0.55,60.0,0.0,0.0,,,OK,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,,0,12,46.0,-34.0,ATP,2,NEUTRAL,ELITE,1,,,1.0,2.0,45.25,11.75,0.58,-0.42,8.979489570093458,1.0,0.07840000000000003,8.530515091588784,?,0.95,0.874,OVER,distance,distance,A,,2708,11.75,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,4,7.8049
14577243,Frances Tiafoe,FRANCES TIAFOE,Total Games,32.5,2026-09-08T13:45:00.000-04:00,Tennis,ATP / HARD,Goblin,40.0,,,14577243,201267,185558,Frances Tiafoe,32.5,Player,ALEX MICHELSEN,,,https://static.prizepicks.com/images/manual/tiafoe.png,,2026-09-08T13:10:19.092-04:00,2026-09-08T13:10:29-04:00,match_total_games,0,,0,2708,ATP,sibling_or_pp,3,Avg,Avg,46,OK,,,0.5948380261102764,,,,,48.0,55.0,38.0,40.0,,,,,,,45.25,45.25,45.25,,hard,0,8.310344827586206,2.155172413793104,0.7471931813542996,0.55,60.0,0.0,0.0,,,OK,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,,0,12,46.0,-34.0,ATP,2,NEUTRAL,ELITE,1,,,1.0,2.0,45.25,12.75,0.58,-0.42,8.979489570093458,1.0,0.07840000000000003,8.530515091588784,?,0.95,0.874,OVER,distance,distance,A,,2708,12.75,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,4,7.8049
14619859,Karen Khachanov,KAREN KHACHANOV,Total Games,32.5,2026-09-09T11:30:00.000-04:00,Tennis,ATP / HARD,Goblin,39.5,,,14619859,201396,185783,Karen Khachanov,32.5,Player,ALEXANDER BLOCKX,,,https://static.prizepicks.com/images/manual/Karen K.png,,2026-09-08T09:48:12.325-04:00,2026-09-08T13:10:29-04:00,match_total_games,0,,0,2367,ATP,sibling_or_pp,3,Avg,Avg,34,OK,,,0.6446638518747103,,,,,52.0,38.0,48.0,39.0,,,,,,,44.25,44.25,44.25,,hard,0,7.968253968253968,2.047619047619047,0.764327151305763,0.5714285714285714,63.0,0.0,0.0,,,OK,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,,0,50,34.0,16.0,ATP,2,NEUTRAL,FIELD,1,,,1.0,2.0,44.25,11.75,0.58,-0.42,8.979489570093458,1.0,0.07840000000000003,8.530515091588784,?,0.95,0.874,OVER,distance,distance,A,,2367,11.75,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,4,6.8496
14580439,Carlos Alcaraz,CARLOS ALCARAZ,Total Games Won,21.5,2026-09-08T20:10:00.000-04:00,Tennis,ATP / HARD,Standard,21.5,,,14580439,201284,185581,Carlos Alcaraz,21.5,Player,BEN SHELTON,,,https://static.prizepicks.com/images/manual/Carlos Alcaraz3.png,,2026-09-08T11:36:42.559-04:00,2026-09-08T13:10:29-04:00,games_won,0,,0,3782,ATP,pp_or_step1,0,Elite,Elite,9,OK,,,0.652953811679599,,,,,22.0,,,,,,,,,,22.0,22.0,22.0,,hard,0,5.626506024096385,2.060240963855421,0.7694979195459459,0.8433734939759037,83.0,1.0,0.0,,,OK,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0,3,9.0,-6.0,ATP,2,NEUTRAL,ELITE,1,,,1.0,2.0,22.0,0.5,0.58,-0.0425,8.979489570093458,1.0,0.07840000000000003,8.530515091588784,?,0.95,0.874,OVER,ml_prob,ml_prob,B,,3782,0.5,OVER,OVER,STANDARD_L5AVG_OVER,OVER,ml_prob_unified,1,
14620306,Xiaodi You,XIAODI YOU,Total Games Won,9.5,2026-09-08T14:30:00.000-04:00,Tennis,WTA / HARD,Demon,8.5,,,14620306,202409,185547,Xiaodi You,9.5,Player,CLAIRE LIU,,,https://img0.aiscore.com/v2/team/d7d91d18665a6ed391dbf7f2282270f6.png!w80,,2026-09-08T07:41:39.843-04:00,2026-09-08T13:10:29-04:00,games_won,0,,0,2603,WTA,sibling_or_pp,1,Weak,Weak,111,OK,,,,,,,,11.0,,,,,,,,,,11.0,11.0,11.0,,hard,0,,,,,,,,,,OK,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0,250,111.0,139.0,WTA,2,NEUTRAL,FIELD,1,,,1.0,2.05,11.0,1.5,0.58,-0.2376,9.21949550093458,1.0,0.07840000000000003,8.75852072588785,?,0.95,0.874,OVER,distance,distance,A,,2603,1.5,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,1,
